satisfied  ,  informative  ,  40
satisfied  ,  productive  ,  32
satisfied  ,  liable  ,  27
satisfied  ,  accurate  ,  35
satisfied  ,  manageable  ,  21
satisfied  ,  inaccurate  ,  32
satisfied  ,  user-friendly  ,  45
satisfied  ,  disorganize  ,  40
satisfied  ,  untrustworthy  ,  18
satisfied  ,  uninstructive  ,  36
satisfied  ,  precise  ,  38
satisfied  ,  responsive  ,  32
satisfied  ,  essential  ,  33
satisfied  ,  detailed  ,  47
satisfied  ,  reliable  ,  24
satisfied  ,  effective  ,  33
satisfied  ,  unresponsive  ,  29
satisfied  ,  powerful  ,  12
useful  ,  informative  ,  12
useful  ,  productive  ,  25
useful  ,  liable  ,  17
useful  ,  accurate  ,  29
useful  ,  manageable  ,  25
useful  ,  inaccurate  ,  25
useful  ,  user-friendly  ,  53
useful  ,  disorganize  ,  24
useful  ,  untrustworthy  ,  21
useful  ,  uninstructive  ,  32
useful  ,  precise  ,  31
useful  ,  responsive  ,  25
useful  ,  essential  ,  40
useful  ,  detailed  ,  29
useful  ,  reliable  ,  29
useful  ,  effective  ,  27
useful  ,  unresponsive  ,  33
useful  ,  powerful  ,  57
fulfill  ,  informative  ,  22
fulfill  ,  productive  ,  24
fulfill  ,  liable  ,  46
fulfill  ,  accurate  ,  13
fulfill  ,  manageable  ,  12
fulfill  ,  inaccurate  ,  12
fulfill  ,  user-friendly  ,  20
fulfill  ,  disorganize  ,  11
fulfill  ,  untrustworthy  ,  10
fulfill  ,  uninstructive  ,  20
fulfill  ,  precise  ,  14
fulfill  ,  responsive  ,  12
fulfill  ,  essential  ,  12
fulfill  ,  detailed  ,  27
fulfill  ,  reliable  ,  40
fulfill  ,  effective  ,  38
fulfill  ,  unresponsive  ,  21
fulfill  ,  powerful  ,  40
gratify  ,  informative  ,  44
gratify  ,  productive  ,  35
gratify  ,  liable  ,  15
gratify  ,  accurate  ,  40
gratify  ,  manageable  ,  24
gratify  ,  inaccurate  ,  35
gratify  ,  user-friendly  ,  30
gratify  ,  disorganize  ,  33
gratify  ,  untrustworthy  ,  30
gratify  ,  uninstructive  ,  30
gratify  ,  precise  ,  29
gratify  ,  responsive  ,  24
gratify  ,  essential  ,  25
gratify  ,  detailed  ,  27
gratify  ,  reliable  ,  27
gratify  ,  effective  ,  25
gratify  ,  unresponsive  ,  21
gratify  ,  powerful  ,  27
meet  ,  informative  ,  27
meet  ,  productive  ,  14
meet  ,  liable  ,  20
meet  ,  accurate  ,  17
meet  ,  manageable  ,  43
meet  ,  inaccurate  ,  14
meet  ,  user-friendly  ,  24
meet  ,  disorganize  ,  13
meet  ,  untrustworthy  ,  12
meet  ,  uninstructive  ,  12
meet  ,  precise  ,  36
meet  ,  responsive  ,  29
meet  ,  essential  ,  46
meet  ,  detailed  ,  33
meet  ,  reliable  ,  33
meet  ,  effective  ,  46
meet  ,  unresponsive  ,  25
meet  ,  powerful  ,  17
beneficial  ,  informative  ,  10
beneficial  ,  productive  ,  10
beneficial  ,  liable  ,  38
beneficial  ,  accurate  ,  11
beneficial  ,  manageable  ,  20
beneficial  ,  inaccurate  ,  10
beneficial  ,  user-friendly  ,  26
beneficial  ,  disorganize  ,  10
beneficial  ,  untrustworthy  ,  9
