,Review,Rating,sentiment,Date of Review
0,Gives wrong address so how do I know the rest is correct.,2,-1,2022-10-25
1,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10.",3,-1,2022-10-24
2,A good thank you,3,1,2022-10-23
3,We,4,0,2022-10-14
4,handy to have,4,0,2022-10-13
5,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W.",5,-1,2022-09-25
6,Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.,4,-1,2022-09-22
7,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location.",1,-1,2022-09-16
8,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.,4,1,2022-09-13
9,This is truly a life saving app,5,1,2022-08-28
10,Saved my life twice now how do you recommend it LIFE SAVING,5,1,2022-08-24
11,"The app isn't working right since last update. Map and numbers are half covered up and can't read 3 words at all as its so small. Please bring back the older version, or explain how I can revert it back as it no longer works",2,1,2022-08-22
12,I just installed this and it has me at the wrong address,3,-1,2022-08-19
13,life saving,5,0,2022-08-15
14,"As a motorcycle rider,this is an invaluable app to have on my phone",5,0,2022-08-12
15,"Crashes, unable to open",5,0,2022-08-10
16,"Location is about 500m out. In a residential area, this would have emergency services turning up to the wrong house -in my case half a block away and the wrong side of the street!",3,-1,2022-08-09
17,This is a must have. If your unsure of the address were the emergency is just touch the app. There it is. All you need to get help.,5,-1,2022-08-02
18,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency.,3,1,2022-07-30
19,Most impressed,5,1,2022-05-27
20,Awesome app great to have on your phone,5,1,2022-05-24
21,"Not displaying my location correctly, more than 3km out.",2,0,2022-05-21
22,"Your app sometimes displays the ""what3words"" text wrong between the ""Home"" screen and the ""My Location"" screen. At times on the ""My Location"" screen, the 3rd word is missing letters at the end of the word. But on the ""Home"" screen all letters appear. Thus, different words can be displayed when at the same location on the 2 different screens. If this review is monitored and your require clarification I have screenshots to illustrate.",4,-1,2022-05-20
23,Awesome... everyone should have this app as it may just save your life or the life of a loved one .,5,1,2022-05-15
24,Thank you You,5,1,2022-05-03
25,"Info blurb says (in the ""app permissions"" section) that you can disable access to permissions in settings. After downloading, the ONLY settings option is to change the font size of GPS coordinates... a blatant lie - not cool. Why should this app need access to the storage of my phone??",2,-1,2022-04-15
26,"The so is generally good. I'd give it 5 stars but... the app has no exit option. Once started this app runs continuously until a Force Stop is used in settings, applications. This app only needs to run on demand NOT continuously. Please fix this flaw. It affects battery.",4,-1,2022-04-12
27,"Just installed the app. My street number is 20. The app says I am 22, and I am sitting in the middle of my house.",3,1,2022-04-11
28,I havent use it yet. Is there anyway/any app that can work from satellite signal on the phone where has no reception? Just for emergency in remoted area,3,-1,2022-04-10
29,000 should be swappable with the national relay service. All together items should be swappable on the first page,3,0,2022-03-15
30,Worth having it.,5,1,2022-03-14
31,"Great system, easy to use.",5,1,2022-03-11
32,A must have for all,5,0,2022-03-09
33,"Great app spot on for locations, it is really good to have",5,1,2022-02-27
34,"Great and simple app, but accessibility is poor. It would be vastly better for older folk (or the vision impaired) if the required information wasn't in tiny text that's hard to read. It wastes a lot of screen space that could be better used.",3,1,2022-02-26
35,Good to use easy to connect with people,4,1,2022-02-20
36,Love this app as you can provide a precise location if required. One thing that could make this more useful would be the ability to put a widget on your lock screen to allow instant access if needed similar to the emergency call option on lock screens. I have a medical app that provides my medical history etc and the widget gives instant access to my information in an emergency without having to unlock my phone.,5,1,2022-02-15
37,"This is an app everybody should have on their phone. For the average, untrained person, it can be extremely difficult to think rationally in an extreme emergency due to adrenaline coursing through your system that often leads to panic. Giving information such as your whereabouts if you are in an unfamiliar place can make things worse. This app can lessen that sense of panic by giving you everything you need at your fingertips and if you don't know where you are what3words is just brilliant.",5,-1,2022-02-02
38,Good,5,1,2022-01-29
39,Incredible life savings tech,5,0,2022-01-21
40,"It has got my address wrong, it thinks I live at 157 which is actually the 2 duplex dwellings behind me, I live at 159. There is no way to change this?? My wife or I could be dead by the time the emergency services find us?",3,-1,2021-12-20
41,Very comprehensive and very easy to use.,5,1,2021-12-15
42,"App doesn't show my position (as indicated in app preview). Location is selected ""On"". Any thoughts or suggestion from anyone. Cheers",2,1,2021-12-13
43,This is a great app but it needs to have the ability to be used on a phone that is locked with a password so a child can ring for help,5,1,2021-11-25
44,Just call 000 actually tried to use this app during an emergency and it didn't work. I ended up calling 000,1,-1,2021-11-11
45,"The concept of this app is sound and useful, however it's very hard to read for those who have less than ideal eyesight. Surely this must be obvious? An emergency app. is for everyone, not just for those with perfect vision! Get with it!",3,1,2021-11-11
46,App is recommended by Australia Wide First Aid... gives your exact location when talking to required emergency,5,-1,2021-10-30
47,"Please change the map/location functionality so that one tap anywhere on the lower half of the screen immediately makes it full screen with large text. At the moment it requires two taps to do this which hardly anyone is going to know. Also add large text ""Tap here for location information"". Great app otherwise.",4,1,2021-10-28
48,"Location map is utterly broken and therefore pointless, and dangerous to rely upon. Just use Google Maps and share your location with a friend via SMS if you're lost.",4,-1,2021-10-25
49,I can't copy my long-lat or what3words to a text message. Please allow/ encourage copy for this. Data takes less power and signal.,4,1,2021-10-25
50,On a Samsung Galaxy there are already 3 apps that are Orange. This important app should be perhaps red and blue so it stands out on screen.,5,1,2021-10-14
51,I havent used it yet... but it looks cool,5,1,2021-10-09
52,Essential App gives your precise location for Emergency Services personnel to come right to your side. Amazing precision and vitally important when out Bushwalking and in areas of dense scrub.,5,1,2021-09-19
53,I was recently teaching at a school and a student asked me if they had no credit on there phone does this app still work.,5,-1,2021-09-14
