User Name,Review,Rating,Date of Review,reviewCreatedVersion
Tom Wilson,Gives wrong address so how do I know the rest is correct.,2,2022-10-25,
R Johnston,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10.",3,2022-10-24,2.34
Gabriel Berceanu,A good thank you,3,2022-10-23,2.26
ron willard,We,4,2022-10-14,2.34
Harpoon Hooper,handy to have,4,2022-10-14,2.34
Gary Brown,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W.",5,2022-09-25,2.34
Targs 35 (Targs),Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.,4,2022-09-23,2.34
Gary Pitts,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location.",1,2022-09-16,2.34
Steve C,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.,4,2022-09-13,
Peter Kirby,This is truly a life saving app,5,2022-08-28,
Douglas Haigh,Saved my life twice now how do you recommend it LIFE SAVING,5,2022-08-24,2.34
Jennifer,"The app isn't working right since last update. Map and numbers are half covered up and can't read 3 words at all as its so small. Please bring back the older version, or explain how I can revert it back as it no longer works",2,2022-08-22,2.34
David Johnston,I just installed this and it has me at the wrong address,3,2022-08-20,2.34
Mathew Hanrahan,life saving,5,2022-08-15,2.34
callyn gryphon,"As a motorcycle rider,this is an invaluable app to have on my phone",5,2022-08-12,2.34
Steve Angus,"Crashes, unable to open",5,2022-08-10,2.34
Floopyboo Tafka,"Location is about 500m out. In a residential area, this would have emergency services turning up to the wrong house -in my case half a block away and the wrong side of the street!",3,2022-08-09,2.34
Ian Shaw,This is a must have. If your unsure of the address were the emergency is just touch the app. There it is. All you need to get help.,5,2022-08-03,2.26
Dream Lifestyle,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency.,3,2022-07-30,2.33
Vlad Wallachia,Most impressed,5,2022-05-27,2.26
Rae Dowd,Awesome app great to have on your phone,5,2022-05-24,2.26
Jenna Daniells,"Not displaying my location correctly, more than 3km out.",2,2022-05-22,2.26
T James,"Your app sometimes displays the ""what3words"" text wrong between the ""Home"" screen and the ""My Location"" screen. At times on the ""My Location"" screen, the 3rd word is missing letters at the end of the word. But on the ""Home"" screen all letters appear. Thus, different words can be displayed when at the same location on the 2 different screens. If this review is monitored and your require clarification I have screenshots to illustrate.",4,2022-05-20,2.26
Jason Shelley,Awesome... everyone should have this app as it may just save your life or the life of a loved one .,5,2022-05-15,2.26
Robert Vanderwalle,Thank you You,5,2022-05-03,
Grant Hutchesson,"Info blurb says (in the ""app permissions"" section) that you can disable access to permissions in settings. After downloading, the ONLY settings option is to change the font size of GPS coordinates... a blatant lie - not cool. Why should this app need access to the storage of my phone??",2,2022-04-15,2.26
Patrick Ernst,"The so is generally good. I'd give it 5 stars but... the app has no exit option. Once started this app runs continuously until a Force Stop is used in settings, applications. This app only needs to run on demand NOT continuously. Please fix this flaw. It affects battery.",4,2022-04-12,2.26
Elizabeth Martin,"Just installed the app. My street number is 20. The app says I am 22, and I am sitting in the middle of my house.",3,2022-04-11,2.26
Harold Tran,I havent use it yet. Is there anyway/any app that can work from satellite signal on the phone where has no reception? Just for emergency in remoted area,3,2022-04-10,2.26
Louise Collins,000 should be swappable with the national relay service. All together items should be swappable on the first page,3,2022-03-15,2.26
Kalps S,Worth having it.,5,2022-03-14,2.26
Geoff Allen,"Great system, easy to use.",5,2022-03-11,2.26
William Rogers,A must have for all,5,2022-03-09,2.26
