Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
6de7844a-fb2e-4ef5-b7dc-f0b0cb87f6a8,Brady Bania,First aid,5,2022-10-25,2.12.1
5270049e-5cbc-48c8-b3b3-cea4f9688531,Jeff Blanch,A very useful tool.,5,2022-10-09,2.12.1
c911b414-c796-42f8-8f37-c1e0581aa7ac,John Lacek,"Not at all helpful when almost all the advice for any issue is basically just ""call 911""",1,2022-10-05,
38256e24-e517-4ae5-ac57-9703f613fe01,Miehilani Cruz,Very informative,4,2022-09-23,2.12.1
4708e15d-8291-49a6-8c23-a9ac704a974b,Samuel THORNSBURY,Nice,5,2022-09-02,2.12.1
d1240524-3e1f-4a48-9299-8cd9fb8caf5c,Douglas Gipson,Great app. Easy to use and very intuitive. Chocked full of easy to follow information.,5,2022-08-16,2.12.1
fd5eb50d-d672-402f-8617-41d9664f8e05,Lucy Johnson,Amazing I love it very much thanx you really appreciate it,5,2022-08-07,
dcad3aa0-d780-4843-a298-c7f3540174d6,Make Name Acceptable Go,"Several negatives: No search function I could find. Nothing on childbirth. Description says no ads, lots of ads (I don't mind the ads as much as the falsehood). Font and readability is pretty so so = light gray on white for much of the text. The info is ok (a bit verbose). There's better apps for similar stuff.",3,2022-07-26,2.12.1
f68e3647-5326-402e-b0bb-2e93a2a6c67e,Derwin Martin,Great app! Very easy to understand. I recommended any person not trained in first aid or cpr to have this app.,5,2022-07-15,2.12.1
c6206239-d7c2-4d31-aeec-873795586fa3,Garrettcadams,Good to keep on hand to brush up on your first aid training.,5,2022-07-11,2.12.1
d1ac62b8-29f3-448d-a095-e9f22dbaa5a6,Megan Chaffee,"Asked a nurse to fact check the info. The advice is correct, and the language isn't medical jargon.",5,2022-06-21,2.12.1
23b49256-6606-4f45-a74c-6c3a1df2e89f,Jesse Martin,Very useful and really like being able to see local hospitals near me,5,2022-06-18,2.12.1
4bbdd6e8-e228-4996-a00d-5cf173c05a06,Lee Korslin,Very good app I learned a lot.,5,2022-06-12,2.12.1
9a64b831-4da4-4fc7-8ace-9e18675f2f52,Reginald Jackson,I love it,5,2022-06-09,2.12.1
d75f69b5-5b95-4bda-9e2f-d2787f859521,L Peterson,"My Grandmother Nadine worked as a volunteer for Red Cross for years! I am soo thrilled to be able to give back to my community, just like she did! Thank You!",5,2022-06-09,2.12.1
48438aaa-266e-479a-9c3d-bbc15e0f237b,red virus Ninja,Great app I'm learning very fast,5,2022-06-06,2.12.1
a3887dde-c16d-49ed-aa89-7a48efb2b9b7,Michael Hitzelberger,Weak. And the Ads make it worse,2,2022-05-22,2.12.1
f32ed8d1-5471-495a-ba7b-e774d4dc7ff2,Gavin Goldsmith,My kid died while I watched an ad for SIMCITY!!!!,1,2022-05-17,
5729254d-a5c6-4351-b0d3-8a89f4232833,Blue Smith,The app is very easy to use.,5,2022-05-12,
46e88c60-3073-40e5-b271-f61d5400e102,Angel Guerrero,Love this app,5,2022-05-04,2.12.1
80c27946-946e-408a-bb51-33d5e3796ae2,Ricky Raccoon,"Under the heading ""About this app"" it states ""The app is ad-free and spam free."" What is the first thing I see when I open the app? A full screen ad. Good thing it wasn't an emergency where every second counted. I mistakenly thought that's what this app was for, emergency first aid. Well played, developers.",2,2022-04-26,2.12.1
d67fabfa-4dba-47c6-97ef-721c8fd89b70,Only Me,Very helpful,5,2022-04-10,2.12.1
667c7cb8-b8cd-4e65-bce3-343fe99ca7b4,Robert holder,"This is a great app for anyone that does not deal with medical situations on a daily basis, and this is also very helpful for active first responders as well.",5,2022-04-04,2.12.1
6c81b36e-d15a-46cd-aa23-ca56850db5f3,Euclid Megara,"This app should indicate ""contains ads"". This is an app that doesn't need to exist: a . PDF would be better in basically every metric.",2,2022-04-03,2.12.0
b9766899-5bd8-45fc-b9c6-823746cba474,Maryanne Connolly-Harris,"Very informative, helpful, use as a learning tool.",5,2022-03-31,2.12.1
82398e80-7ce7-4b0c-8e5e-dca616b3d018,Theodore Hampton,Every phone should have this app installed by default. You never know when you might need to save someone's life or someone may need to save your life!,5,2022-03-22,2.12.0
ae4bf4a3-69dd-4eac-bb43-780130a8d889,James Olson,App is ok for a resource. However for us that are certified it would be nice if we could have our cards digitized.,4,2022-02-16,2.12.0
db0f6cdd-8d37-4535-a36b-b931bc166f40,Lenda McCormick,Think we used this to research a treatment to use,3,2022-02-12,
571dc63a-931a-408d-9345-464f785d452d,Michael Fair,Don't let me keep I want eternal life I love my life and I want to leave a money to my adopted kids soon I'm a injury survivor surgery nuero when I was 17 9 weeks comatose on life support no consciousness paralyzed miraculous recovery of 68% or body normality makes 40% of mental recovery no drug use as of yesterday I was depressed but I don't want to recolect the holicost so I'm trying to get something to leave behind for my tomatoes growers lol wife mom sisters aunts friends friends pet ownersc,4,2022-02-02,
ad041579-6e1c-41e2-ba26-6d919369e43e,Greg Brewton,"A bit confused that, in the bleeding quiz, the more severe injury was a scrape on the shoulder instead of blood spurting from a foot.",4,2021-12-26,2.12.0
ea631fdf-3533-4a94-ab78-2985626d94ad,lester underhill,Helps learning,5,2021-12-11,2.11.2
63d07878-d1ca-4d60-a380-d4788faea764,Richard Gordon,"I finished all the quizzes within 30 min, made a few mistakes, other than that, this app is useful for these kinds of situations and would recommend",5,2021-11-27,2.11.2
8c7fbcb5-9ad3-46fb-b481-a8d920669996,ryan humphrey,Such A Good Thing 👍 👏 👌 😌 ☺ 🙌 👍,5,2021-11-02,
cbdded88-256e-4539-ab41-2cd61f73443f,Frederick Brooks,Awesome app for first aid n emergency response,5,2021-10-25,2.11.2
02cd1928-84a2-4bed-ac64-4d0a28885624,M Catz,Helps reinforce the training you already have also a great help for anyone not trained in first aid/ CPR. Very helpful.,5,2021-10-15,2.11.2
e56b91e2-1c33-459b-b4c0-ed00b9e66a35,YouSuckGOOGLE. Forreal,Great tool to have after completing the course.,4,2021-10-13,2.11.2
e3d977e2-4c71-47ca-b7e1-92a1c7e11014,Beth Lewis,Educational,5,2021-09-26,
aee768d0-1d92-4866-8db3-cc0ea3bc73f8,fred dixon,Great info.,5,2021-09-19,2.11.2
99526eba-40d0-4866-aa19-b7f3c887ecdc,Greg Sauder,I love it.,5,2021-08-30,
020cb660-42d2-4a0e-83a5-30a06ac1a497,Dinah Deakins,Can't find my certificate,3,2021-08-25,2.11.1
b2f7467c-f9d5-4676-acb0-97647ce98df5,Ethan Horn,This was recommended through work. It's a well put together app and serves it's purpose well.,5,2021-08-17,2.11.1
dbfbc7d7-d27d-49ef-84c2-4599d2182228,Joni Wilson-Holthaus,Nothing I need,1,2021-08-14,2.11.1
25636df9-2094-4d21-bec5-9f832da7b824,Gary Kirk,Lots of great information. The quizzes are very good.,5,2021-08-13,2.11.1
1ab9e0e8-cbc8-4cbd-beee-1d150ea33811,Enoch Gallegos,Like this app 👌,5,2021-07-23,2.10.0
d9c152a2-af82-497f-8e7e-db7bf5cbd6f7,Aisha Price,Test to get the red cross,5,2021-07-06,
4cc3554d-ae3b-4b9b-b1bc-ab4f51497d83,Tom Douglas,Explanations for the reasoning behind the recommended treatments are very helpful.,5,2021-06-21,2.11.1
8a6fc394-4913-422b-ba5c-912261745e80,Hep Cat,"Not a very good app to rely on for first aid, but then not being able to rely on the red cross is a hundred year old standard.",1,2021-06-11,2.9.0
cf240d41-7914-47a2-b5fa-13067cd801d7,Elise Malia,I got all my badges and now if something happens I'll know what to do.,5,2021-06-04,2.11.1
40ead3ea-3ea1-422b-ae98-2d10e0994a3c,Caroline Newsome,Very valuable information at your fingertips!,5,2021-06-03,2.11.1
6a50a43f-8d1f-4d43-a889-c254534c64b4,Courtney Torres,"Good source of information, and easy to understand.",5,2021-05-03,2.11.1
5e9e0430-ce98-4fdc-a181-a620dac047ab,Corvus Strigiform,"Some of the info is good but some is outdated or wrong. The quizzes with stupid, obviously wrong answers are not funny and show lack of care for the seriousness of the issue. Some of the quiz answers are wrong as well. They pull in so much in donations it would be cool to see them put more into this instead of overpaying ceos.",3,2021-04-18,2.11.1
9f5fb301-a0a4-4fb5-87ea-d0e3e20753bb,Melinda Ittenbach,Not detailed enough,3,2021-04-15,2.10.0
7051f13e-ebdc-44c8-a2d4-54ab2c58f87b,Asher D,"I got this app to prepare myself in case I ever need to provide first aid for someone. I started by checking out the quizzes, and they are worthless. The questions are pretty basic and the wrong answers are way too obvious (ex: a water gun is not used to treat an allergic reaction).",1,2021-04-12,2.11.1
4d2985e7-e305-4b16-bee0-1eb53cda6bea,Barry Murphy,Very good basic information on first aid.,5,2021-04-10,2.11.1
8f848531-27e4-4fd4-8a39-c5e0e37953e2,Dawn Thomas,Id like more info,4,2021-04-05,2.11.1
