,User Name,Review,Rating,Date of Review,sentiment
0,deangadams,"Love this app and especially the addition of W3W. Would be awesome to have this as a widget to always show your location and also watch integration so you can have a complication on the Home Screen showing what three words locations for people hiking, exercising etc. easy way to get the information when you’re already on the phone is to raise your wrist.",4,2020-11-08,1
1,STEltham,"I recently loaded this app onto the shortcut screen of our family phones (mainly for the kids) with the expectation that I would never end up using it. 
This weekend, we had a fire in our garage where my husband was trapped and our garage door bolted closed, our home phone was out due to no power (thanks NBN) and I was trying to get my husband free. I called for the kids to evacuated and call emergency, with their shock they couldn’t find their phone so I grabbed mine.  Using this app took the frustration out of trying to find and open the phone app, get onto the call screen and dial emergency services. All I had to do was click the app, hit call then confirm -
It was extremely responsive and I managed this one handed while trying to move furniture and unbolt a door.
Fortunately all worked out well, emergency services arrived and everyone was safe. 
A brilliant app.",5,2019-06-04,-1
2,Andy Tibicen,I have used and promoted this since its inception as emergency +. I brought F&R NSW and Microsoft Australia together to port the application to the Windows phone store. I always thought the app could store GPS coordinates so if really remote you could take them to a location with coverage to give the exact to 000. It seems it does not but it should. At present I would need to take a photo and then get the coordinates from the EXIF metadata. A long way around and only IT nerds would think to do this. Can we please have a capability to store gps so we can then relay to 000 once back in service. Thank you.,5,2021-09-18,1
3,Bigdog1971,"On last Friday night I suffered a crashing stroke. I was out on the bathroom tiles and couldn't talk, thankfully my wife was right there. She was a little flustered (understandable) and could not remember the number to call. She had this app on her phone and switch straight to the app and called the emergency number directly, also read the home address straight from the app screen.
I apologize if my words are mixed up, but I'm still recovering from the stroke.
I owe my wife for her recognition of what was happening and straight through to the help needed.",5,2017-09-12,1
4,[ The Captain ],"I had a serious fall mountain biking a couple of days ago. I managed to walk to the nearest fire road in a conservation area and gave my coordinates to the 000 operator. Our excellent ambo service had a 4WD in the park in good time, but took another hour and a half trying to track down which fire road I was on. I was in contact by phone but our maps were different. Eventually other riders spread out to guide them in.
Would have been much better if they had something to plug my coordinates in and guide them to me on an up to date map.",3,2020-06-11,1
5,GI Judy,Caution when reading out what 3 words over a phone to emergency services: their word list has similar sounding and pluralized words that may be misread by the operator and there are many examples of positions several km away with similar sounding names. There is security research on this topic. I would suggest incorporating other open source position readout protocols with better core technology.,4,2022-07-09,1
6,Stampman2001,"* Valuable app which works well. 

* No clear channel provided to give feedback to app developer team - 000 website ‘contact us for feedback’ page sends you off to a myriad of pages on Department of Home Affairs website :(

* Feedback on behalf of a visually impaired member of community: the location details may not be very easy for some people to see.

* Perhaps a future release possibly include an accessibility option whereby the user could press a button for the location details to be read out by the phone? [Google maps is able to read out directions even when the phone is on a call, so such a feature may be possible(?).]",5,2018-04-05,-1
7,.......................123,Used this app in a remote National park in outback Qld when a group member collapsed. We got straight through and we’re able to clearly communicate our location in the park (not near any of the camp grounds or roads etc) to the paramedics. We had no coverage and the sat phone wouldn’t work but this app connected! Everyone who journeys in remote Oz should have this app.,5,2021-08-01,1
8,d-tjarlz,"I would like to see functionality for this app to send location coordinates as an SMS to a programmed list of contacts. This button should share space with the others on the main screen. Ideally an emergency SMS should be able to use any network available, but I’m not sure how that could be implemented.",4,2020-04-14,0
9,Shaza70,"I had to use the app recently with the bush fire crisis I live in a no mobile service area and land line was damaged due to the fires.  My husbands phone does not have mobile wifi so can’t use it to dial 000, and only works while the internet is up.  So downloaded the app thinking he can use it to dial 000 and found he couldn’t the app told him to use his phone to dial 112 and that didn’t work either - saying not available in the area. So he had to use Facebook messenger to phone me to ask me to call 000 I was 30km away. Don’t waste your time",1,2020-01-14,-1
10,ThaaBaar,The what3words integration is genius and is exactly what I’ve wanted when sometimes the apps location description is occasionally off or too vague. It will also absolutely be vital for those lost in bush land who make calls. An absolutely must have!!,5,2020-11-06,-1
11,photomuz,Terrific idea but would be of limited value without my glasses. The words are very small. How about increasing the size of the three words to fill the screen after 10 seconds and also reading the words out to help people with vision impairment or illiterate.,4,2020-11-02,1
12,Hatty_the_chickstar,"This app is wonderful and surely has saved some lives. 
Please change the app icon back to the old one though. The newer orange logo looks too much like other app icons and blends in. Not good for finding in a hurry.",5,2020-11-01,1
13,Graman62,I wish the app could give an on water lat/long we are having to convert the location given from this app to what we can use. Just the option to select the form would help. Otherwise it’s a good app,5,2022-01-03,1
14,rkidjez,"The new app icon is much less ‘emergencyish’. I don’t like it at all. The old one stood out as a ‘click me now’ emergency button. The new one blends in. I’ll forget I’ve got it. In an emergency situation an app you can find super quickly is really important as you may not be thinking straight. 
Otherwise I still like the app.",3,2020-10-30,1
15,FireFighter Daz,"Great app :-) I would also like to see the Military Grid Reference System added with long / latitude. 
Messaging option would also be a great feature to have also.",5,2020-10-31,1
16,Phillip fr Aus,"Concept and execution is great.  However, I think it could be improved by adding the WhatThreeWords location in addition to the GPS coordinates.  In stressful situations, quoting three short words is often easier to articulate than a string of numbers.",5,2019-11-02,1
17,BindiB.,"This is a great app. It would be even better if we were able to nominate it to not be archived to the cloud automatically if not used.. because you don’t need it, until you do!",5,2022-09-18,1
18,TChoo05,Great concept guys. We are frequent interstate holiday drivers and have come upon not so nice truck drivers harassing motorists in certain parts between rural NSW and VIC. Knowing where I am exactly can help in reporting trucks or accidents! I will be recommending this to friends and family.,5,2018-02-22,1
19,BernieH from Down Under,"I love the concept of the app and recommend it to friends, just hope I never have to use it.
The GPS font size adjustment is great but I don't understand why you don't adjust the street address below it using the same setting.",5,2017-06-23,1
20,thecarefulcactus,"The app was so helpful.
It gives a perfect location every time.
The app has heaps of great features but, the app looks a bit tacky and there are buttons that I don’t know what they do.
There are also no instructions on what buttons do so please fix this!!!
Overall I really like this app. Thanks!😝",4,2019-06-14,1
21,happeejoy,"Great app. Is it possible for the app to have greater accessibility functionality to support individuals who may not be able to identify their location, understand the operator and/or see/say the 3 words. 
Thank you",4,2022-01-22,1
22,K4SE,"Today, I got caught up in a traffic accident in rural SE QLD and needed to call the emergency services but had no idea how to describe where I was. I called 000 and used the app to give the operator the co-ordinates. Thanks so much a real life saver! Two patients quickly located and taken to hospital.",5,2017-10-03,-1
23,Qazwsdcrfbthjihnkhjfvf,I think you guys should approach Apple and make this app available in control centre so when phone is locked other people can use it still as that would help save life's and responds times,5,2017-08-04,1
24,Devo108,"This app is the only app on my phone I hope I never have to use!
I’ve read everything on this app that I can find to read on it & without having used it, I still say it’s the best app in my phone.",5,2019-03-12,1
25,nick name mf,"I thought that the What Three Words software gave a unique set of 3 words to reference a specific map location, but when I tested this on 2 mobile phones sitting next to each other, the latitude and longitude were the same but the three words were different. Is this meant to occur?",2,2020-11-24,0
26,HaXOr_21,"Emergency plus is a great app with a wonderful idea. My only suggestion is to include the number for the DAN (river alert network), so people in SCUBA emergencies know who to call. Otherwise a literal life saver app",4,2021-02-16,1
27,**LadyXray**,"How can this be? It shows blue dot in correct place of my home, but the address named is a 3 minute walk away across a park.  I then entered into Google Maps the GPS coordinates listed in the app as being my location. It also shows that the blue dot is where I am  but  the Emergency app address that I am supposed to give to a responder is not where I am. !!!",1,2020-12-20,-1
28,Gitane27,Great app so simple to use definitely a lifesaver would love to have it on my watch as I don’t always have my phone within hands reach.,5,2021-03-13,1
29,Navarre rd,Came across accident on country road no knowing where you relaid gps cordinates to operator and pin pointed out location to the meter. Saved a lot of time in trying to describe where we were,5,2017-12-12,-1
30,tanya_2540,"This has been a really handy app to have, but since the update, it won’t stay open. Crashes after a few seconds, even after deleting and re-installing. Please fix.",3,2020-11-02,1
31,slow_learner_2019,"Overall, it’s a great app, and will save lives. The emergency contacts are comprehensive, but could use mental health emergency contacts. This is of critical importance when responding to people who are psychotic or suicidal, and will not seek help on their own.",4,2019-02-17,-1
32,Thornleigh Shopper,Deleted and reinstalled and now it works perfectly.,4,2020-11-02,1
