,User Name,Review,Rating,Date of Review,sentiment
0,Eyeless Fish,"I was just checking out the app, and it looks like a good chunk of it is accessible. But, in the quizzes there is one area where it is not.  It’s the quiz that talks about what to do if someone is bleeding. Three out of the four questions and answers are accessible.  But, number two is not. How do you expect a blind person to be able to be able to touch the spot where you put a tourniquet. Come on! You’re the American Red cross. You should be able to get this right.  If this gets fixed I will fix my reading.",4,2019-08-31,-1
1,Jooho Kim,"Thorough this app I could learn what I have to do in emergency situations. Every people have possibility of facing the emergency situation in their own life or someone else's while we are living. So when we know what we have to do in emergency situations we can save more lives. This app is the first step for make it possible. 
I installed this app several years ago. At that time there was no quiz section but these days it has. The quiz section is really helpful. Through quiz I could assessed not only my knowledge was right but also corrected wrong knowledges previously I had and got some new informations. 
I strongly recommend this excellent app for everyone.",5,2017-03-14,1
2,Gpa Gregg,"I have no confidence in this app when attempting to schedule or reschedule a platelet donation. Every time I attempt to, it requires a phone call to the Red Cross to correct the schedule. Why use it at all when the dates seem to get mixed up every time I attempt to schedule or postpone an appointment? I do like using the app to fill out the Rapid Pass, but I won’t be using the app to do any scheduling from now on. I also don’t like depending on the app to keep track of all my donations. I have a whole stack of plastic cards from my days of donating whole blood and platelets. I’ve been a whole blood donor since 1986 and the Red Cross discontinuing the tracking of donations on the plastic cards saddens me.",2,2018-06-30,-1
3,tllado,"Great app, tons of info, well organized, but would be so much more useful if it had a widget. Something people could access immediately from the lock screen. If the app is buried on page four, people are going to waste valuable time searching for it.
I tried to submit this idea to the developer, but the App Support link goes to a 404 error.",4,2022-08-31,1
4,abcancino93,"For the most part the app is good and informational. But two of the quizzes don’t seem to have the right answer amount set or inform you the proper answers. It would be nice to actually have clear explanations about why an answer would be wrong, but it’d be better to pick the correct number of answers that the question doesn’t seem to label right.",4,2020-08-05,1
5,Ken''s iTunes Account,This app is great for treating things and all that. But one fact is wrong about putting vinegar on a jellyfish sting. This was proven wrong by scientists and it is known to make things worse,4,2017-05-16,-1
6,Drummerkat,"I really like having this mobile first aid app. It's easy to read and access.  I wish the quizzes were longer and more thorough and I'd like the answers to be more challenging.  For example, anaphylactic shock does not mean a person is excited about a sale.  Obviously.  I'd rather the questions and answers be more legit.",5,2017-08-26,1
7,Hdjcidnsjsnx,"This emergency app is diffferent from the others that just say 'call 911' it gives thirough explaining in how to help them and treat them. Easy acces to 911 and poison control center will save time! Also lists how to prepare for bad storms, and such. Also includes a quiz section to test your knowledge on how to react to the situation. Definitely get this one!",5,2017-08-08,1
8,Torokokokokok,I have taken many first responder classes and this app has helped me retain much of the information that I've learned over the years. I am happy with the simple layout and the easy to find categories. I recommend looking over categories while on the toilet. You may save someone's life!,5,2017-04-26,1
9,Dwightrerskine,"Good luck quickly finding what you need in an urgent situation.  You HAVE to scroll through categories and topics to find what you need.   I want a Search button that helps me find what I need ASAP. 

This morning I had my son showing early signs of frostbite.  I gave up on the app when I could find what I needed quickly and reverted to a web search.   

It’s probably a nice app for learning in advance, but useless in real time.",1,2022-01-07,1
10,dtoyd,"Needs a search box at least for the emergencies tab. I really don't want to be scrolling and reading my options in an emergency!

I was checking now for smoke inhalation. Not in the list. So no information at all or maybe something ""hidden"" in one of the other places like ""unconscious person"". Gotta check manually rather just do a SEARCH for ""smoke""",3,2018-11-10,-1
11,Unplayable123,"This app is AWESOME! It makes it more fun to learn about wounds and things! This app can save a life because it tells you on how to treat co concutions, heart attacks, and something that happens to me all the time, bug bites! I am in Boy Scouts. This app can help me earn badges and other things! This app is AMAZING!",5,2019-05-10,1
12,Kadettje,Excellent app. I'm certified with Red Cross and this app provides a great refresher. I would highly recommend Red Cross include opiate overdose as a medical condition and what to do including instructions for administering Narcan which is now more and more available in public places.,5,2017-04-22,1
13,featherbabylove,This app is so useful. I use it all the time. I wish you could add a feature to switch language instead of question to switch language. I hope you can consider my suggestion :D,5,2018-03-28,1
14,ATLFSUNOLE,"Sure, when there is an emergency most people won’t think of going to this app but it is a great training resource & if you do need tips in an emergency, it’s intuitive and easy to use.",5,2019-07-27,1
15,maaujai,"This is one of the most well-designed, clearly written, and useful apps I have ever seen. I plan to share it with our entire organization. Thank you!  🕊♥️🕊
- From an RN/Paramedic in Oregon",5,2020-03-28,1
16,Zinnybelle,I got this a while back and later deleted it. (Idk why) I downloaded it again for babysitting. This app is very cool. I wish the quizzes were longer though.,5,2018-03-28,1
17,MGVMGVMGVbubble,"It is always good to have reminders, as well as reliable information at hand, when it comes to first aid. Thanks!",5,2017-11-13,1
18,Adventurer88,App has all the basic information you will need. As a instructor I have my students down load the app. The quizzes are great!,5,2017-09-26,1
19,Fall woman,I've always had this app...it's good to read once in awile. A good first aid app at this time is a good thing to have  Specially this app.  It's always worked really excellently for me.,5,2020-09-06,1
20,Creeper 101,I enjoy learning different things and how to help people if needed. Only one thing... you guys used the wrong form of “you’re” under the Flu section. “If you or the person /your/ caring for...” pls fix b0ss.,4,2018-01-14,1
21,Bruntainia,"Very simple and easy to use. 

I can definitely see this application helping. 

I learned a very lot of information, in like, maybe, 12 minutes 👍🏻💯",4,2017-04-03,1
22,Tech in the car,Basic first aid question. I have had this app for years and never used it. Going to search the web :-(,3,2022-09-27,-1
23,nickthesrick,I used this app in a first aid course at my high school and I found it to be very helpful.,5,2022-02-02,1
24,lol completely,After taking the course this was recommended to me and it makes me confident I am ready for anything,5,2018-09-15,1
25,gksasa,"Good practical App.

Once in the App they should put American Red Cross or their Red Cross symbol at top banner so you know you are using a trusted source",5,2020-07-05,1
26,jim_julian,This is a great app for common medical emergencies.  It should be on all mobile phones. Excellent supporting illustrations and animations.,5,2017-07-05,1
27,lovereviewing22,This is perfect I can practice what to do In emergency situations and help people out if they have any of these problems!,5,2017-06-17,1
