great  ,  informative  ,  38
great  ,  productive  ,  27
great  ,  liable  ,  18
great  ,  accurate  ,  46
great  ,  manageable  ,  40
great  ,  inaccurate  ,  40
great  ,  user-friendly  ,  22
great  ,  disorganize  ,  25
great  ,  untrustworthy  ,  22
great  ,  uninstructive  ,  22
great  ,  precise  ,  33
great  ,  responsive  ,  27
great  ,  essential  ,  29
great  ,  detailed  ,  31
great  ,  reliable  ,  46
great  ,  effective  ,  29
great  ,  unresponsive  ,  24
great  ,  powerful  ,  15
amazing  ,  informative  ,  33
amazing  ,  productive  ,  12
amazing  ,  liable  ,  15
amazing  ,  accurate  ,  27
amazing  ,  manageable  ,  47
amazing  ,  inaccurate  ,  24
amazing  ,  user-friendly  ,  20
amazing  ,  disorganize  ,  22
amazing  ,  untrustworthy  ,  10
amazing  ,  uninstructive  ,  20
amazing  ,  precise  ,  14
amazing  ,  responsive  ,  12
amazing  ,  essential  ,  12
amazing  ,  detailed  ,  27
amazing  ,  reliable  ,  13
amazing  ,  effective  ,  12
amazing  ,  unresponsive  ,  11
amazing  ,  powerful  ,  0
love  ,  informative  ,  40
love  ,  productive  ,  43
love  ,  liable  ,  40
love  ,  accurate  ,  17
love  ,  manageable  ,  29
love  ,  inaccurate  ,  14
love  ,  user-friendly  ,  12
love  ,  disorganize  ,  27
love  ,  untrustworthy  ,  12
love  ,  uninstructive  ,  24
love  ,  precise  ,  18
love  ,  responsive  ,  43
love  ,  essential  ,  15
love  ,  detailed  ,  33
love  ,  reliable  ,  33
love  ,  effective  ,  31
love  ,  unresponsive  ,  38
love  ,  powerful  ,  17
cool  ,  informative  ,  13
cool  ,  productive  ,  14
cool  ,  liable  ,  20
cool  ,  accurate  ,  17
cool  ,  manageable  ,  14
cool  ,  inaccurate  ,  14
cool  ,  user-friendly  ,  12
cool  ,  disorganize  ,  13
cool  ,  untrustworthy  ,  12
cool  ,  uninstructive  ,  12
cool  ,  precise  ,  18
cool  ,  responsive  ,  14
cool  ,  essential  ,  15
cool  ,  detailed  ,  17
cool  ,  reliable  ,  17
cool  ,  effective  ,  15
cool  ,  unresponsive  ,  12
cool  ,  powerful  ,  33
helpful  ,  informative  ,  11
helpful  ,  productive  ,  12
helpful  ,  liable  ,  15
helpful  ,  accurate  ,  13
helpful  ,  manageable  ,  24
helpful  ,  inaccurate  ,  12
helpful  ,  user-friendly  ,  20
helpful  ,  disorganize  ,  11
helpful  ,  untrustworthy  ,  10
helpful  ,  uninstructive  ,  10
helpful  ,  precise  ,  14
helpful  ,  responsive  ,  24
helpful  ,  essential  ,  25
helpful  ,  detailed  ,  27
helpful  ,  reliable  ,  40
helpful  ,  effective  ,  25
helpful  ,  unresponsive  ,  21
helpful  ,  powerful  ,  53
disappointed  ,  informative  ,  35
disappointed  ,  productive  ,  27
disappointed  ,  liable  ,  33
disappointed  ,  accurate  ,  30
disappointed  ,  manageable  ,  27
disappointed  ,  inaccurate  ,  36
disappointed  ,  user-friendly  ,  8
disappointed  ,  disorganize  ,  52
disappointed  ,  untrustworthy  ,  16
disappointed  ,  uninstructive  ,  32
disappointed  ,  precise  ,  32
disappointed  ,  responsive  ,  45
disappointed  ,  essential  ,  29
disappointed  ,  detailed  ,  40
disappointed  ,  reliable  ,  30
disappointed  ,  effective  ,  19
disappointed  ,  unresponsive  ,  42
disappointed  ,  powerful  ,  30
useless  ,  informative  ,  11
useless  ,  productive  ,  24
useless  ,  liable  ,  31
useless  ,  accurate  ,  27
useless  ,  manageable  ,  35
useless  ,  inaccurate  ,  24
useless  ,  user-friendly  ,  40
useless  ,  disorganize  ,  22
useless  ,  untrustworthy  ,  20
useless  ,  uninstructive  ,  30
useless  ,  precise  ,  29
useless  ,  responsive  ,  35
useless  ,  essential  ,  38
useless  ,  detailed  ,  40
useless  ,  reliable  ,  40
useless  ,  effective  ,  25
useless  ,  unresponsive  ,  42
useless  ,  powerful  ,  27
