convenient  ,  informative  ,  29
convenient  ,  productive  ,  30
convenient  ,  liable  ,  12
convenient  ,  accurate  ,  22
convenient  ,  manageable  ,  30
convenient  ,  inaccurate  ,  20
convenient  ,  user-friendly  ,  35
convenient  ,  disorganize  ,  38
convenient  ,  untrustworthy  ,  17
convenient  ,  uninstructive  ,  26
convenient  ,  precise  ,  24
convenient  ,  responsive  ,  40
convenient  ,  essential  ,  42
convenient  ,  detailed  ,  33
convenient  ,  reliable  ,  33
convenient  ,  effective  ,  32
convenient  ,  unresponsive  ,  36
convenient  ,  powerful  ,  22
manageable  ,  informative  ,  29
manageable  ,  productive  ,  10
manageable  ,  liable  ,  50
manageable  ,  accurate  ,  33
manageable  ,  manageable  ,  100
manageable  ,  inaccurate  ,  30
manageable  ,  user-friendly  ,  17
manageable  ,  disorganize  ,  29
manageable  ,  untrustworthy  ,  9
manageable  ,  uninstructive  ,  17
manageable  ,  precise  ,  24
manageable  ,  responsive  ,  20
manageable  ,  essential  ,  21
manageable  ,  detailed  ,  33
manageable  ,  reliable  ,  56
manageable  ,  effective  ,  21
manageable  ,  unresponsive  ,  27
manageable  ,  powerful  ,  22
simple  ,  informative  ,  35
simple  ,  productive  ,  25
simple  ,  liable  ,  50
simple  ,  accurate  ,  14
simple  ,  manageable  ,  38
simple  ,  inaccurate  ,  25
simple  ,  user-friendly  ,  32
simple  ,  disorganize  ,  35
simple  ,  untrustworthy  ,  11
simple  ,  uninstructive  ,  32
simple  ,  precise  ,  31
simple  ,  responsive  ,  38
simple  ,  essential  ,  40
simple  ,  detailed  ,  43
simple  ,  reliable  ,  43
simple  ,  effective  ,  27
simple  ,  unresponsive  ,  33
simple  ,  powerful  ,  29
handy  ,  informative  ,  12
handy  ,  productive  ,  13
handy  ,  liable  ,  18
handy  ,  accurate  ,  15
handy  ,  manageable  ,  27
handy  ,  inaccurate  ,  13
handy  ,  user-friendly  ,  33
handy  ,  disorganize  ,  25
handy  ,  untrustworthy  ,  22
handy  ,  uninstructive  ,  11
handy  ,  precise  ,  0
handy  ,  responsive  ,  13
handy  ,  essential  ,  14
handy  ,  detailed  ,  31
handy  ,  reliable  ,  15
handy  ,  effective  ,  0
handy  ,  unresponsive  ,  12
handy  ,  powerful  ,  0
practical  ,  informative  ,  40
practical  ,  productive  ,  53
practical  ,  liable  ,  27
practical  ,  accurate  ,  35
practical  ,  manageable  ,  32
practical  ,  inaccurate  ,  32
practical  ,  user-friendly  ,  27
practical  ,  disorganize  ,  30
practical  ,  untrustworthy  ,  18
practical  ,  uninstructive  ,  36
practical  ,  precise  ,  50
practical  ,  responsive  ,  21
practical  ,  essential  ,  44
practical  ,  detailed  ,  35
practical  ,  reliable  ,  35
practical  ,  effective  ,  33
practical  ,  unresponsive  ,  19
practical  ,  powerful  ,  35
uncomplicated  ,  informative  ,  50
uncomplicated  ,  productive  ,  35
uncomplicated  ,  liable  ,  42
uncomplicated  ,  accurate  ,  38
uncomplicated  ,  manageable  ,  26
uncomplicated  ,  inaccurate  ,  35
uncomplicated  ,  user-friendly  ,  23
uncomplicated  ,  disorganize  ,  25
uncomplicated  ,  untrustworthy  ,  31
uncomplicated  ,  uninstructive  ,  38
uncomplicated  ,  precise  ,  30
uncomplicated  ,  responsive  ,  26
uncomplicated  ,  essential  ,  18
uncomplicated  ,  detailed  ,  29
uncomplicated  ,  reliable  ,  38
uncomplicated  ,  effective  ,  27
uncomplicated  ,  unresponsive  ,  40
uncomplicated  ,  powerful  ,  19
useful  ,  informative  ,  12
useful  ,  productive  ,  25
useful  ,  liable  ,  17
useful  ,  accurate  ,  29
useful  ,  manageable  ,  25
useful  ,  inaccurate  ,  25
useful  ,  user-friendly  ,  53
useful  ,  disorganize  ,  24
useful  ,  untrustworthy  ,  21
useful  ,  uninstructive  ,  32
useful  ,  precise  ,  31
useful  ,  responsive  ,  25
useful  ,  essential  ,  40
useful  ,  detailed  ,  29
useful  ,  reliable  ,  29
useful  ,  effective  ,  27
useful  ,  unresponsive  ,  33
useful  ,  powerful  ,  57
reliable  ,  informative  ,  21
reliable  ,  productive  ,  22
reliable  ,  liable  ,  86
reliable  ,  accurate  ,  25
reliable  ,  manageable  ,  56
reliable  ,  inaccurate  ,  22
reliable  ,  user-friendly  ,  29
reliable  ,  disorganize  ,  21
reliable  ,  untrustworthy  ,  10
reliable  ,  uninstructive  ,  19
reliable  ,  precise  ,  53
reliable  ,  responsive  ,  44
reliable  ,  essential  ,  47
reliable  ,  detailed  ,  50
reliable  ,  reliable  ,  100
reliable  ,  effective  ,  35
reliable  ,  unresponsive  ,  40
reliable  ,  powerful  ,  25
foolproof  ,  informative  ,  30
foolproof  ,  productive  ,  32
foolproof  ,  liable  ,  13
foolproof  ,  accurate  ,  12
foolproof  ,  manageable  ,  11
foolproof  ,  inaccurate  ,  11
foolproof  ,  user-friendly  ,  18
foolproof  ,  disorganize  ,  20
foolproof  ,  untrustworthy  ,  18
foolproof  ,  uninstructive  ,  9
foolproof  ,  precise  ,  25
foolproof  ,  responsive  ,  11
foolproof  ,  essential  ,  11
foolproof  ,  detailed  ,  12
foolproof  ,  reliable  ,  12
foolproof  ,  effective  ,  22
foolproof  ,  unresponsive  ,  10
foolproof  ,  powerful  ,  24
flawless  ,  informative  ,  32
flawless  ,  productive  ,  11
flawless  ,  liable  ,  57
flawless  ,  accurate  ,  25
flawless  ,  manageable  ,  33
flawless  ,  inaccurate  ,  22
flawless  ,  user-friendly  ,  19
flawless  ,  disorganize  ,  21
flawless  ,  untrustworthy  ,  10
flawless  ,  uninstructive  ,  10
flawless  ,  precise  ,  27
flawless  ,  responsive  ,  33
flawless  ,  essential  ,  35
flawless  ,  detailed  ,  38
flawless  ,  reliable  ,  50
flawless  ,  effective  ,  24
flawless  ,  unresponsive  ,  30
flawless  ,  powerful  ,  25
disorderly  ,  informative  ,  38
disorderly  ,  productive  ,  30
disorderly  ,  liable  ,  25
disorderly  ,  accurate  ,  22
disorderly  ,  manageable  ,  20
disorderly  ,  inaccurate  ,  30
disorderly  ,  user-friendly  ,  43
disorderly  ,  disorganize  ,  57
disorderly  ,  untrustworthy  ,  35
disorderly  ,  uninstructive  ,  35
disorderly  ,  precise  ,  35
disorderly  ,  responsive  ,  20
disorderly  ,  essential  ,  21
disorderly  ,  detailed  ,  33
disorderly  ,  reliable  ,  22
disorderly  ,  effective  ,  21
disorderly  ,  unresponsive  ,  18
disorderly  ,  powerful  ,  44
perfect  ,  informative  ,  11
perfect  ,  productive  ,  47
perfect  ,  liable  ,  15
perfect  ,  accurate  ,  13
perfect  ,  manageable  ,  24
perfect  ,  inaccurate  ,  12
perfect  ,  user-friendly  ,  40
perfect  ,  disorganize  ,  11
perfect  ,  untrustworthy  ,  20
perfect  ,  uninstructive  ,  30
perfect  ,  precise  ,  57
perfect  ,  responsive  ,  24
perfect  ,  essential  ,  38
perfect  ,  detailed  ,  27
perfect  ,  reliable  ,  27
perfect  ,  effective  ,  62
