,Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion,sentiment
0,95aacdd5-af0f-4677-9fb1-53cd69385ff8,Tom Wilson,Gives wrong address so how do I know the rest is correct.,2,2022-10-25,,-1
1,390ba2ce-88c2-44a9-b2e4-32c8f2bfbd54,R Johnston,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10.",3,2022-10-24,2.34,-1
2,bf4a9ce6-6252-4d4e-8bef-4bb20e12100c,Gabriel Berceanu,A good thank you,3,2022-10-23,2.26,1
3,834cb28b-cd2c-40fd-83d7-22a27ded85cf,ron willard,We,4,2022-10-14,2.34,0
4,2c46ad26-2f36-4a1c-aa47-2b04643fc88c,Harpoon Hooper,handy to have,4,2022-10-13,2.34,0
5,1d74ae46-83fe-4bdc-95bf-f457ea3b7b1c,Gary Brown,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W.",5,2022-09-25,2.34,-1
6,fd2c1237-b3d5-4917-8323-017d3c4bb3a2,Targs 35 (Targs),Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.,4,2022-09-22,2.34,-1
7,61ac2943-cede-433a-8e8b-f1aa0f4f7706,Gary Pitts,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location.",1,2022-09-16,2.34,-1
8,71196640-467b-4cc7-80c4-40463099e32a,Steve C,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.,4,2022-09-13,,1
9,0467a8e5-22f9-410c-9238-8bc52f94e16e,Peter Kirby,This is truly a life saving app,5,2022-08-28,,1
10,a07cf51c-7b30-4c39-9f86-f64024822c7d,Douglas Haigh,Saved my life twice now how do you recommend it LIFE SAVING,5,2022-08-24,2.34,1
