,SENTIMENT,REVIEW,REVIEW_punctuation,REVIEW_punctuation_tokenized,REVIEW_punctuation_tokenized_sw,REVIEW_punctuation_tokenized_sw_stemmed,REVIEW_punctuation_tokenized_sw_lemmatized
0,negative,Gives wrong address so how do I know the rest is correct.,Gives wrong address so how do I know the rest is correct,"['gives', 'wrong', 'address', 'so', 'how', 'do', 'i', 'know', 'the', 'rest', 'is', 'correct']","['gives', 'wrong', 'address', 'know', 'rest', 'correct']","['give', 'wrong', 'address', 'know', 'rest', 'correct']","['give', 'wrong', 'address', 'know', 'rest', 'correct']"
1,negative,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10.",Locates correctly but can give an address 800m  8 streets away Last updated text can also be odd ie 19 years ago Must have to let it take time to settle down SGS10,"['locates', 'correctly', 'but', 'can', 'give', 'an', 'address', '800m', '8', 'streets', 'away', 'last', 'updated', 'text', 'can', 'also', 'be', 'odd', 'ie', '19', 'years', 'ago', 'must', 'have', 'to', 'let', 'it', 'take', 'time', 'to', 'settle', 'down', 'sgs10']","['locates', 'correctly', 'give', 'address', '800m', '8', 'streets', 'away', 'last', 'updated', 'text', 'also', 'odd', 'ie', '19', 'years', 'ago', 'must', 'let', 'take', 'time', 'settle', 'sgs10']","['locat', 'correctli', 'give', 'address', '800m', '8', 'street', 'away', 'last', 'updat', 'text', 'also', 'odd', 'ie', '19', 'year', 'ago', 'must', 'let', 'take', 'time', 'settl', 'sgs10']","['locates', 'correctly', 'give', 'address', '800m', '8', 'street', 'away', 'last', 'updated', 'text', 'also', 'odd', 'ie', '19', 'year', 'ago', 'must', 'let', 'take', 'time', 'settle', 'sgs10']"
2,positive,A good thank you,A good thank you,"['a', 'good', 'thank', 'you']","['good', 'thank']","['good', 'thank']","['good', 'thank']"
3,neutral,We,We,['we'],[],[],[]
4,neutral,handy to have,handy to have,"['handy', 'to', 'have']",['handy'],['handi'],['handy']
5,negative,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W.",Rendering assistance to a lone dehydrated aged sailor at waters edge reporting as a concern for welfare Frustratingly with no road and no xstreet to pass to 000 it was simple as saying Alpha Bravo Charlie where GPS and three words was spot on in guiding the ambulance close if we cant find you we cant rescue you and day or night not all calls for assistance come with an observable street address or for that matter even on Land thats within a three metre square Well done W3W,"['rendering', 'assistance', 'to', 'a', 'lone', 'dehydrated', 'aged', 'sailor', 'at', 'waters', 'edge', 'reporting', 'as', 'a', 'concern', 'for', 'welfare', 'frustratingly', 'with', 'no', 'road', 'and', 'no', 'xstreet', 'to', 'pass', 'to', '000', 'it', 'was', 'simple', 'as', 'saying', 'alpha', 'bravo', 'charlie', 'where', 'gps', 'and', 'three', 'words', 'was', 'spot', 'on', 'in', 'guiding', 'the', 'ambulance', 'close', 'if', 'we', 'cant', 'find', 'you', 'we', 'cant', 'rescue', 'you', 'and', 'day', 'or', 'night', 'not', 'all', 'calls', 'for', 'assistance', 'come', 'with', 'an', 'observable', 'street', 'address', 'or', 'for', 'that', 'matter', 'even', 'on', 'land', 'thats', 'within', 'a', 'three', 'metre', 'square', 'well', 'done', 'w3w']","['rendering', 'assistance', 'lone', 'dehydrated', 'aged', 'sailor', 'waters', 'edge', 'reporting', 'concern', 'welfare', 'frustratingly', 'road', 'xstreet', 'pass', '000', 'simple', 'saying', 'alpha', 'bravo', 'charlie', 'gps', 'three', 'words', 'spot', 'guiding', 'ambulance', 'close', 'cant', 'find', 'cant', 'rescue', 'day', 'night', 'calls', 'assistance', 'come', 'observable', 'street', 'address', 'matter', 'even', 'land', 'thats', 'within', 'three', 'metre', 'square', 'well', 'done', 'w3w']","['render', 'assist', 'lone', 'dehydr', 'age', 'sailor', 'water', 'edg', 'report', 'concern', 'welfar', 'frustratingli', 'road', 'xstreet', 'pass', '000', 'simpl', 'say', 'alpha', 'bravo', 'charli', 'gp', 'three', 'word', 'spot', 'guid', 'ambul', 'close', 'cant', 'find', 'cant', 'rescu', 'day', 'night', 'call', 'assist', 'come', 'observ', 'street', 'address', 'matter', 'even', 'land', 'that', 'within', 'three', 'metr', 'squar', 'well', 'done', 'w3w']","['rendering', 'assistance', 'lone', 'dehydrated', 'aged', 'sailor', 'water', 'edge', 'reporting', 'concern', 'welfare', 'frustratingly', 'road', 'xstreet', 'pas', '000', 'simple', 'saying', 'alpha', 'bravo', 'charlie', 'gps', 'three', 'word', 'spot', 'guiding', 'ambulance', 'close', 'cant', 'find', 'cant', 'rescue', 'day', 'night', 'call', 'assistance', 'come', 'observable', 'street', 'address', 'matter', 'even', 'land', 'thats', 'within', 'three', 'metre', 'square', 'well', 'done', 'w3w']"
6,negative,Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.,Great app Sister put me onto it Shame there is no way to update the home location as a gps location does work for when you are multi level residential building,"['great', 'app', 'sister', 'put', 'me', 'onto', 'it', 'shame', 'there', 'is', 'no', 'way', 'to', 'update', 'the', 'home', 'location', 'as', 'a', 'gps', 'location', 'does', 'work', 'for', 'when', 'you', 'are', 'multi', 'level', 'residential', 'building']","['great', 'app', 'sister', 'put', 'onto', 'shame', 'way', 'update', 'home', 'location', 'gps', 'location', 'work', 'multi', 'level', 'residential', 'building']","['great', 'app', 'sister', 'put', 'onto', 'shame', 'way', 'updat', 'home', 'locat', 'gp', 'locat', 'work', 'multi', 'level', 'residenti', 'build']","['great', 'app', 'sister', 'put', 'onto', 'shame', 'way', 'update', 'home', 'location', 'gps', 'location', 'work', 'multi', 'level', 'residential', 'building']"
7,negative,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location.",Dangerous app It thinks I am at my old address some 50km from where I actually am GPS wont update Waze picks up my location correctly so it isnt a GPS or phone issue This app is dangerous it could send emergency services to the wrong location It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location,"['dangerous', 'app', 'it', 'thinks', 'i', 'am', 'at', 'my', 'old', 'address', 'some', '50km', 'from', 'where', 'i', 'actually', 'am', 'gps', 'wont', 'update', 'waze', 'picks', 'up', 'my', 'location', 'correctly', 'so', 'it', 'isnt', 'a', 'gps', 'or', 'phone', 'issue', 'this', 'app', 'is', 'dangerous', 'it', 'could', 'send', 'emergency', 'services', 'to', 'the', 'wrong', 'location', 'it', 'would', 'be', 'safer', 'not', 'to', 'have', 'the', 'app', 'and', 'use', 'street', 'signs', 'or', 'landmarks', 'or', 'gps', 'coordinates', 'from', 'your', 'phone', 'to', 'report', 'your', 'location']","['dangerous', 'app', 'thinks', 'old', 'address', '50km', 'actually', 'gps', 'wont', 'update', 'waze', 'picks', 'location', 'correctly', 'isnt', 'gps', 'phone', 'issue', 'app', 'dangerous', 'could', 'send', 'emergency', 'services', 'wrong', 'location', 'would', 'safer', 'app', 'use', 'street', 'signs', 'landmarks', 'gps', 'coordinates', 'phone', 'report', 'location']","['danger', 'app', 'think', 'old', 'address', '50km', 'actual', 'gp', 'wont', 'updat', 'waze', 'pick', 'locat', 'correctli', 'isnt', 'gp', 'phone', 'issu', 'app', 'danger', 'could', 'send', 'emerg', 'servic', 'wrong', 'locat', 'would', 'safer', 'app', 'use', 'street', 'sign', 'landmark', 'gp', 'coordin', 'phone', 'report', 'locat']","['dangerous', 'app', 'think', 'old', 'address', '50km', 'actually', 'gps', 'wont', 'update', 'waze', 'pick', 'location', 'correctly', 'isnt', 'gps', 'phone', 'issue', 'app', 'dangerous', 'could', 'send', 'emergency', 'service', 'wrong', 'location', 'would', 'safer', 'app', 'use', 'street', 'sign', 'landmark', 'gps', 'coordinate', 'phone', 'report', 'location']"
8,positive,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.,Great just in case app Truncation of what three words in primary and map screen may be problematic unless font size significantly reduced impacting vision impaired individuals When tapping info box from map screen all text increases in size and often pushes last of the three words out of viewaccess Better highlighting of additional services accessible through the menu may also assist those who havent explored app prior to their emergencycrisis,"['great', 'just', 'in', 'case', 'app', 'truncation', 'of', 'what', 'three', 'words', 'in', 'primary', 'and', 'map', 'screen', 'may', 'be', 'problematic', 'unless', 'font', 'size', 'significantly', 'reduced', 'impacting', 'vision', 'impaired', 'individuals', 'when', 'tapping', 'info', 'box', 'from', 'map', 'screen', 'all', 'text', 'increases', 'in', 'size', 'and', 'often', 'pushes', 'last', 'of', 'the', 'three', 'words', 'out', 'of', 'viewaccess', 'better', 'highlighting', 'of', 'additional', 'services', 'accessible', 'through', 'the', 'menu', 'may', 'also', 'assist', 'those', 'who', 'havent', 'explored', 'app', 'prior', 'to', 'their', 'emergencycrisis']","['great', 'case', 'app', 'truncation', 'three', 'words', 'primary', 'map', 'screen', 'may', 'problematic', 'unless', 'font', 'size', 'significantly', 'reduced', 'impacting', 'vision', 'impaired', 'individuals', 'tapping', 'info', 'box', 'map', 'screen', 'text', 'increases', 'size', 'often', 'pushes', 'last', 'three', 'words', 'viewaccess', 'better', 'highlighting', 'additional', 'services', 'accessible', 'menu', 'may', 'also', 'assist', 'havent', 'explored', 'app', 'prior', 'emergencycrisis']","['great', 'case', 'app', 'truncat', 'three', 'word', 'primari', 'map', 'screen', 'may', 'problemat', 'unless', 'font', 'size', 'significantli', 'reduc', 'impact', 'vision', 'impair', 'individu', 'tap', 'info', 'box', 'map', 'screen', 'text', 'increas', 'size', 'often', 'push', 'last', 'three', 'word', 'viewaccess', 'better', 'highlight', 'addit', 'servic', 'access', 'menu', 'may', 'also', 'assist', 'havent', 'explor', 'app', 'prior', 'emergencycrisi']","['great', 'case', 'app', 'truncation', 'three', 'word', 'primary', 'map', 'screen', 'may', 'problematic', 'unless', 'font', 'size', 'significantly', 'reduced', 'impacting', 'vision', 'impaired', 'individual', 'tapping', 'info', 'box', 'map', 'screen', 'text', 'increase', 'size', 'often', 'push', 'last', 'three', 'word', 'viewaccess', 'better', 'highlighting', 'additional', 'service', 'accessible', 'menu', 'may', 'also', 'assist', 'havent', 'explored', 'app', 'prior', 'emergencycrisis']"
9,positive,This is truly a life saving app,This is truly a life saving app,"['this', 'is', 'truly', 'a', 'life', 'saving', 'app']","['truly', 'life', 'saving', 'app']","['truli', 'life', 'save', 'app']","['truly', 'life', 'saving', 'app']"
