,SENTIMENT,REVIEW,REVIEW_punctuation,REVIEW_punctuation_tokenized,REVIEW_punctuation_tokenized_sw,REVIEW_punctuation_tokenized_sw_stemmed,REVIEW_punctuation_tokenized_sw_lemmatized
0,neutral,First aid,First aid,"['first', 'aid']","['first', 'aid']","['first', 'aid']","['first', 'aid']"
1,positive,A very useful tool.,A very useful tool,"['a', 'very', 'useful', 'tool']","['useful', 'tool']","['use', 'tool']","['useful', 'tool']"
2,negative,"Not at all helpful when almost all the advice for any issue is basically just ""call 911""",Not at all helpful when almost all the advice for any issue is basically just call 911,"['not', 'at', 'all', 'helpful', 'when', 'almost', 'all', 'the', 'advice', 'for', 'any', 'issue', 'is', 'basically', 'just', 'call', '911']","['helpful', 'almost', 'advice', 'issue', 'basically', 'call', '911']","['help', 'almost', 'advic', 'issu', 'basic', 'call', '911']","['helpful', 'almost', 'advice', 'issue', 'basically', 'call', '911']"
3,neutral,Very informative,Very informative,"['very', 'informative']",['informative'],['inform'],['informative']
4,positive,Nice,Nice,['nice'],['nice'],['nice'],['nice']
5,positive,Great app. Easy to use and very intuitive. Chocked full of easy to follow information.,Great app Easy to use and very intuitive Chocked full of easy to follow information,"['great', 'app', 'easy', 'to', 'use', 'and', 'very', 'intuitive', 'chocked', 'full', 'of', 'easy', 'to', 'follow', 'information']","['great', 'app', 'easy', 'use', 'intuitive', 'chocked', 'full', 'easy', 'follow', 'information']","['great', 'app', 'easi', 'use', 'intuit', 'chock', 'full', 'easi', 'follow', 'inform']","['great', 'app', 'easy', 'use', 'intuitive', 'chocked', 'full', 'easy', 'follow', 'information']"
6,positive,Amazing I love it very much thanx you really appreciate it,Amazing I love it very much thanx you really appreciate it,"['amazing', 'i', 'love', 'it', 'very', 'much', 'thanx', 'you', 'really', 'appreciate', 'it']","['amazing', 'love', 'much', 'thanx', 'really', 'appreciate']","['amaz', 'love', 'much', 'thanx', 'realli', 'appreci']","['amazing', 'love', 'much', 'thanx', 'really', 'appreciate']"
7,positive,"Several negatives: No search function I could find. Nothing on childbirth. Description says no ads, lots of ads (I don't mind the ads as much as the falsehood). Font and readability is pretty so so = light gray on white for much of the text. The info is ok (a bit verbose). There's better apps for similar stuff.",Several negatives No search function I could find Nothing on childbirth Description says no ads lots of ads I dont mind the ads as much as the falsehood Font and readability is pretty so so  light gray on white for much of the text The info is ok a bit verbose Theres better apps for similar stuff,"['several', 'negatives', 'no', 'search', 'function', 'i', 'could', 'find', 'nothing', 'on', 'childbirth', 'description', 'says', 'no', 'ads', 'lots', 'of', 'ads', 'i', 'dont', 'mind', 'the', 'ads', 'as', 'much', 'as', 'the', 'falsehood', 'font', 'and', 'readability', 'is', 'pretty', 'so', 'so', 'light', 'gray', 'on', 'white', 'for', 'much', 'of', 'the', 'text', 'the', 'info', 'is', 'ok', 'a', 'bit', 'verbose', 'theres', 'better', 'apps', 'for', 'similar', 'stuff']","['several', 'negatives', 'search', 'function', 'could', 'find', 'nothing', 'childbirth', 'description', 'says', 'ads', 'lots', 'ads', 'dont', 'mind', 'ads', 'much', 'falsehood', 'font', 'readability', 'pretty', 'light', 'gray', 'white', 'much', 'text', 'info', 'ok', 'bit', 'verbose', 'theres', 'better', 'apps', 'similar', 'stuff']","['sever', 'neg', 'search', 'function', 'could', 'find', 'noth', 'childbirth', 'descript', 'say', 'ad', 'lot', 'ad', 'dont', 'mind', 'ad', 'much', 'falsehood', 'font', 'readabl', 'pretti', 'light', 'gray', 'white', 'much', 'text', 'info', 'ok', 'bit', 'verbos', 'there', 'better', 'app', 'similar', 'stuff']","['several', 'negative', 'search', 'function', 'could', 'find', 'nothing', 'childbirth', 'description', 'say', 'ad', 'lot', 'ad', 'dont', 'mind', 'ad', 'much', 'falsehood', 'font', 'readability', 'pretty', 'light', 'gray', 'white', 'much', 'text', 'info', 'ok', 'bit', 'verbose', 'there', 'better', 'apps', 'similar', 'stuff']"
8,positive,Great app! Very easy to understand. I recommended any person not trained in first aid or cpr to have this app.,Great app Very easy to understand I recommended any person not trained in first aid or cpr to have this app,"['great', 'app', 'very', 'easy', 'to', 'understand', 'i', 'recommended', 'any', 'person', 'not', 'trained', 'in', 'first', 'aid', 'or', 'cpr', 'to', 'have', 'this', 'app']","['great', 'app', 'easy', 'understand', 'recommended', 'person', 'trained', 'first', 'aid', 'cpr', 'app']","['great', 'app', 'easi', 'understand', 'recommend', 'person', 'train', 'first', 'aid', 'cpr', 'app']","['great', 'app', 'easy', 'understand', 'recommended', 'person', 'trained', 'first', 'aid', 'cpr', 'app']"
9,positive,Good to keep on hand to brush up on your first aid training.,Good to keep on hand to brush up on your first aid training,"['good', 'to', 'keep', 'on', 'hand', 'to', 'brush', 'up', 'on', 'your', 'first', 'aid', 'training']","['good', 'keep', 'hand', 'brush', 'first', 'aid', 'training']","['good', 'keep', 'hand', 'brush', 'first', 'aid', 'train']","['good', 'keep', 'hand', 'brush', 'first', 'aid', 'training']"
10,neutral,"Asked a nurse to fact check the info. The advice is correct, and the language isn't medical jargon.",Asked a nurse to fact check the info The advice is correct and the language isnt medical jargon,"['asked', 'a', 'nurse', 'to', 'fact', 'check', 'the', 'info', 'the', 'advice', 'is', 'correct', 'and', 'the', 'language', 'isnt', 'medical', 'jargon']","['asked', 'nurse', 'fact', 'check', 'info', 'advice', 'correct', 'language', 'isnt', 'medical', 'jargon']","['ask', 'nurs', 'fact', 'check', 'info', 'advic', 'correct', 'languag', 'isnt', 'medic', 'jargon']","['asked', 'nurse', 'fact', 'check', 'info', 'advice', 'correct', 'language', 'isnt', 'medical', 'jargon']"
11,positive,Very useful and really like being able to see local hospitals near me,Very useful and really like being able to see local hospitals near me,"['very', 'useful', 'and', 'really', 'like', 'being', 'able', 'to', 'see', 'local', 'hospitals', 'near', 'me']","['useful', 'really', 'like', 'able', 'see', 'local', 'hospitals', 'near']","['use', 'realli', 'like', 'abl', 'see', 'local', 'hospit', 'near']","['useful', 'really', 'like', 'able', 'see', 'local', 'hospital', 'near']"
12,positive,Very good app I learned a lot.,Very good app I learned a lot,"['very', 'good', 'app', 'i', 'learned', 'a', 'lot']","['good', 'app', 'learned', 'lot']","['good', 'app', 'learn', 'lot']","['good', 'app', 'learned', 'lot']"
13,positive,I love it,I love it,"['i', 'love', 'it']",['love'],['love'],['love']
14,positive,"My Grandmother Nadine worked as a volunteer for Red Cross for years! I am soo thrilled to be able to give back to my community, just like she did! Thank You!",My Grandmother Nadine worked as a volunteer for Red Cross for years I am soo thrilled to be able to give back to my community just like she did Thank You,"['my', 'grandmother', 'nadine', 'worked', 'as', 'a', 'volunteer', 'for', 'red', 'cross', 'for', 'years', 'i', 'am', 'soo', 'thrilled', 'to', 'be', 'able', 'to', 'give', 'back', 'to', 'my', 'community', 'just', 'like', 'she', 'did', 'thank', 'you']","['grandmother', 'nadine', 'worked', 'volunteer', 'red', 'cross', 'years', 'soo', 'thrilled', 'able', 'give', 'back', 'community', 'like', 'thank']","['grandmoth', 'nadin', 'work', 'volunt', 'red', 'cross', 'year', 'soo', 'thrill', 'abl', 'give', 'back', 'commun', 'like', 'thank']","['grandmother', 'nadine', 'worked', 'volunteer', 'red', 'cross', 'year', 'soo', 'thrilled', 'able', 'give', 'back', 'community', 'like', 'thank']"
