negative,Gives wrong address so how do I know the rest is correct.
negative,"Locates correctly but can give an address 800m / 8 streets away. ""Last updated"" text can also be odd: ie ""19 years ago"". Must have to let it take time to settle down. SGS10."
positive,A good thank you
neutral,We
neutral,handy to have
negative,"Rendering assistance to a lone dehydrated aged sailor at water's edge reporting as a ""concern for welfare"". Frustratingly with no road and no x-street to pass to 000 it was simple as saying Alpha, Bravo, Charlie where GPS and three words was spot on in guiding the ambulance close. ""if we can't find you we can't rescue you"", and day or night not all calls for assistance come with an observable street address or for that matter even on ""Land"", that's within a three metre square. Well done W3W."
negative,Great app. Sister put me onto it. Shame there is no way to update the home location as a gps location does work for when you are multi level residential building.
negative,"Dangerous app. It thinks I am at my old address, some 50km from where I actually am. GPS won't update. Waze picks up my location correctly so it isn't a GPS or phone issue. This app is dangerous, it could send emergency services to the wrong location. It would be safer not to have the app and use street signs or landmarks or GPS coordinates from your phone to report your location."
positive,Great 'just in case' app. Truncation of 'what three words' in primary and map screen may be problematic (unless font size significantly reduced impacting vision impaired individuals). When tapping info box from map screen all text increases in size and often pushes last of the 'three words' out of view/access. Better highlighting of additional services accessible through the menu may also assist those who haven't explored app prior to their emergency/crisis.
positive,This is truly a life saving app
positive,Saved my life twice now how do you recommend it LIFE SAVING
positive,"The app isn't working right since last update. Map and numbers are half covered up and can't read 3 words at all as its so small. Please bring back the older version, or explain how I can revert it back as it no longer works"
negative,I just installed this and it has me at the wrong address
neutral,life saving
neutral,"As a motorcycle rider,this is an invaluable app to have on my phone"
neutral,"Crashes, unable to open"
negative,"Location is about 500m out. In a residential area, this would have emergency services turning up to the wrong house -in my case half a block away and the wrong side of the street!"
negative,This is a must have. If your unsure of the address were the emergency is just touch the app. There it is. All you need to get help.
positive,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency.
positive,Most impressed
positive,Awesome app great to have on your phone
neutral,"Not displaying my location correctly, more than 3km out."
negative,"Your app sometimes displays the ""what3words"" text wrong between the ""Home"" screen and the ""My Location"" screen. At times on the ""My Location"" screen, the 3rd word is missing letters at the end of the word. But on the ""Home"" screen all letters appear. Thus, different words can be displayed when at the same location on the 2 different screens. If this review is monitored and your require clarification I have screenshots to illustrate."
positive,Awesome... everyone should have this app as it may just save your life or the life of a loved one .
positive,Thank you You
negative,"Info blurb says (in the ""app permissions"" section) that you can disable access to permissions in settings. After downloading, the ONLY settings option is to change the font size of GPS coordinates... a blatant lie - not cool. Why should this app need access to the storage of my phone??"
negative,"The so is generally good. I'd give it 5 stars but... the app has no exit option. Once started this app runs continuously until a Force Stop is used in settings, applications. This app only needs to run on demand NOT continuously. Please fix this flaw. It affects battery."
positive,"Just installed the app. My street number is 20. The app says I am 22, and I am sitting in the middle of my house."
negative,I havent use it yet. Is there anyway/any app that can work from satellite signal on the phone where has no reception? Just for emergency in remoted area
neutral,000 should be swappable with the national relay service. All together items should be swappable on the first page
positive,Worth having it.
positive,"Great system, easy to use."
neutral,A must have for all
positive,"Great app spot on for locations, it is really good to have"
positive,"Great and simple app, but accessibility is poor. It would be vastly better for older folk (or the vision impaired) if the required information wasn't in tiny text that's hard to read. It wastes a lot of screen space that could be better used."
positive,Good to use easy to connect with people
positive,Love this app as you can provide a precise location if required. One thing that could make this more useful would be the ability to put a widget on your lock screen to allow instant access if needed similar to the emergency call option on lock screens. I have a medical app that provides my medical history etc and the widget gives instant access to my information in an emergency without having to unlock my phone.
negative,"This is an app everybody should have on their phone. For the average, untrained person, it can be extremely difficult to think rationally in an extreme emergency due to adrenaline coursing through your system that often leads to panic. Giving information such as your whereabouts if you are in an unfamiliar place can make things worse. This app can lessen that sense of panic by giving you everything you need at your fingertips and if you don't know where you are what3words is just brilliant."
positive,Good
neutral,Incredible life savings tech
negative,"It has got my address wrong, it thinks I live at 157 which is actually the 2 duplex dwellings behind me, I live at 159. There is no way to change this?? My wife or I could be dead by the time the emergency services find us?"
positive,Very comprehensive and very easy to use.
positive,"App doesn't show my position (as indicated in app preview). Location is selected ""On"". Any thoughts or suggestion from anyone. Cheers"
positive,This is a great app but it needs to have the ability to be used on a phone that is locked with a password so a child can ring for help
negative,Just call 000 actually tried to use this app during an emergency and it didn't work. I ended up calling 000
positive,"The concept of this app is sound and useful, however it's very hard to read for those who have less than ideal eyesight. Surely this must be obvious? An emergency app. is for everyone, not just for those with perfect vision! Get with it!"
negative,App is recommended by Australia Wide First Aid... gives your exact location when talking to required emergency
