,Word,list
0,informative,"['enlightening', 'informative', 'illuminating', 'instructive', 'informative', 'informative', 'informatory']"
1,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
2,liable,"['apt', 'liable', 'liable', 'liable', 'nonimmune', 'nonresistant', 'unresistant', 'liable']"
3,accurate,"['accurate', 'accurate', 'exact', 'precise']"
4,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
5,inaccurate,['inaccurate']
6,user-friendly,['user-friendly']
7,disorganize,"['disorganize', 'disorganise']"
8,untrustworthy,"['untrustworthy', 'untrusty']"
9,uninstructive,['uninstructive']
0,informative,"['enlightening', 'informative', 'illuminating', 'instructive', 'informative', 'informative', 'informatory']"
1,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
2,liable,"['apt', 'liable', 'liable', 'liable', 'nonimmune', 'nonresistant', 'unresistant', 'liable']"
3,accurate,"['accurate', 'accurate', 'exact', 'precise']"
4,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
5,inaccurate,['inaccurate']
6,user-friendly,['user-friendly']
7,disorganize,"['disorganize', 'disorganise']"
8,untrustworthy,"['untrustworthy', 'untrusty']"
9,uninstructive,['uninstructive']
0,informative,"['enlightening', 'informative', 'illuminating', 'instructive', 'informative', 'informative', 'informatory']"
1,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
2,liable,"['apt', 'liable', 'liable', 'liable', 'nonimmune', 'nonresistant', 'unresistant', 'liable']"
3,accurate,"['accurate', 'accurate', 'exact', 'precise']"
4,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
5,inaccurate,['inaccurate']
6,user-friendly,['user-friendly']
7,disorganize,"['disorganize', 'disorganise']"
8,untrustworthy,"['untrustworthy', 'untrusty']"
9,uninstructive,['uninstructive']
