,Word,list
0,convenient,"['convenient', 'commodious', 'convenient']"
1,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
2,simple,"['simple', 'simpleton', 'simple', 'simple', 'elementary', 'simple', 'uncomplicated', 'unproblematic', 'bare', 'mere', 'simple', 'childlike', 'wide-eyed', 'round-eyed', 'dewy-eyed', 'simple', 'dim-witted', 'simple', 'simple-minded', 'simple', 'unsubdivided', 'simple']"
3,handy,"['Handy', 'W._C._Handy', 'William_Christopher_Handy', 'handy', 'ready_to_hand', 'handy', 'handy']"
4,practical,"['practical', 'hardheaded', 'hard-nosed', 'practical', 'pragmatic', 'virtual', 'practical', 'practical']"
5,uncomplicated,"['uncomplicated', 'unsophisticated', 'elementary', 'simple', 'uncomplicated', 'unproblematic']"
6,useful,"['useful', 'utile', 'utilitarian', 'useful']"
7,reliable,"['reliable', 'dependable', 'dependable', 'honest', 'reliable', 'true', 'authentic', 'reliable']"
8,foolproof,"['goofproof', 'goof-proof', 'foolproof', 'foolproof', 'unfailing']"
9,flawless,"['flawless', 'unflawed']"
10,disorderly,"['disorderly', 'disorderly', 'higgledy-piggledy', 'hugger-mugger', 'jumbled', 'topsy-turvy', 'chaotic', 'disorderly']"
11,perfect,"['perfective', 'perfective_tense', 'perfect', 'perfect_tense', 'perfect', 'hone', 'perfect', 'arrant', 'complete', 'consummate', 'double-dyed', 'everlasting', 'gross', 'perfect', 'pure', 'sodding', 'stark', 'staring', 'thoroughgoing', 'utter', 'unadulterated', 'perfect']"
12,messy,"['messy', 'mussy']"
13,infallible,['infallible']
14,sleek,"['slick', 'sleek', 'sleek', 'streamlined', 'aerodynamic', 'flowing', 'sleek', 'satiny', 'sleek', 'silken', 'silky', 'silklike', 'slick']"
15,smooth,"['smooth', 'smooth', 'smoothen', 'polish', 'smooth', 'smoothen', 'shine', 'smooth', 'smooth_out', 'smooth', 'politic', 'smooth', 'suave', 'bland', 'smooth', 'fluent', 'fluid', 'liquid', 'smooth', 'legato', 'smooth', 'smooth', 'smooth', 'placid', 'quiet', 'still', 'tranquil', 'smooth', 'unruffled']"
16,poor,"['poor_people', 'poor', 'hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched', 'poor', 'poor', 'poor', 'inadequate', 'poor', 'short', 'poor']"
17,complicated,"['complicate', 'perplex', 'complicate', 'refine', 'rarify', 'elaborate', 'complicated']"
18,tricky,"['slippery', 'tricky', 'catchy', 'tricky', 'crafty', 'cunning', 'dodgy', 'foxy', 'guileful', 'knavish', 'slick', 'sly', 'tricksy', 'tricky', 'wily']"
19,tangled,"['embroil', 'tangle', 'sweep', 'sweep_up', 'drag', 'drag_in', 'ravel', 'tangle', 'knot', 'tousle', 'dishevel', 'tangle', 'entangle', 'tangle', 'mat', 'snarl', 'tangled', 'Byzantine', 'convoluted', 'involved', 'knotty', 'tangled', 'tortuous']"
0,convenient,"['convenient', 'commodious', 'convenient']"
1,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
2,simple,"['simple', 'simpleton', 'simple', 'simple', 'elementary', 'simple', 'uncomplicated', 'unproblematic', 'bare', 'mere', 'simple', 'childlike', 'wide-eyed', 'round-eyed', 'dewy-eyed', 'simple', 'dim-witted', 'simple', 'simple-minded', 'simple', 'unsubdivided', 'simple']"
3,handy,"['Handy', 'W._C._Handy', 'William_Christopher_Handy', 'handy', 'ready_to_hand', 'handy', 'handy']"
4,practical,"['practical', 'hardheaded', 'hard-nosed', 'practical', 'pragmatic', 'virtual', 'practical', 'practical']"
5,uncomplicated,"['uncomplicated', 'unsophisticated', 'elementary', 'simple', 'uncomplicated', 'unproblematic']"
6,useful,"['useful', 'utile', 'utilitarian', 'useful']"
7,reliable,"['reliable', 'dependable', 'dependable', 'honest', 'reliable', 'true', 'authentic', 'reliable']"
8,foolproof,"['goofproof', 'goof-proof', 'foolproof', 'foolproof', 'unfailing']"
9,flawless,"['flawless', 'unflawed']"
10,disorderly,"['disorderly', 'disorderly', 'higgledy-piggledy', 'hugger-mugger', 'jumbled', 'topsy-turvy', 'chaotic', 'disorderly']"
11,perfect,"['perfective', 'perfective_tense', 'perfect', 'perfect_tense', 'perfect', 'hone', 'perfect', 'arrant', 'complete', 'consummate', 'double-dyed', 'everlasting', 'gross', 'perfect', 'pure', 'sodding', 'stark', 'staring', 'thoroughgoing', 'utter', 'unadulterated', 'perfect']"
12,messy,"['messy', 'mussy']"
13,infallible,['infallible']
14,sleek,"['slick', 'sleek', 'sleek', 'streamlined', 'aerodynamic', 'flowing', 'sleek', 'satiny', 'sleek', 'silken', 'silky', 'silklike', 'slick']"
15,smooth,"['smooth', 'smooth', 'smoothen', 'polish', 'smooth', 'smoothen', 'shine', 'smooth', 'smooth_out', 'smooth', 'politic', 'smooth', 'suave', 'bland', 'smooth', 'fluent', 'fluid', 'liquid', 'smooth', 'legato', 'smooth', 'smooth', 'smooth', 'placid', 'quiet', 'still', 'tranquil', 'smooth', 'unruffled']"
16,poor,"['poor_people', 'poor', 'hapless', 'miserable', 'misfortunate', 'pathetic', 'piteous', 'pitiable', 'pitiful', 'poor', 'wretched', 'poor', 'poor', 'poor', 'inadequate', 'poor', 'short', 'poor']"
17,complicated,"['complicate', 'perplex', 'complicate', 'refine', 'rarify', 'elaborate', 'complicated']"
18,tricky,"['slippery', 'tricky', 'catchy', 'tricky', 'crafty', 'cunning', 'dodgy', 'foxy', 'guileful', 'knavish', 'slick', 'sly', 'tricksy', 'tricky', 'wily']"
19,tangled,"['embroil', 'tangle', 'sweep', 'sweep_up', 'drag', 'drag_in', 'ravel', 'tangle', 'knot', 'tousle', 'dishevel', 'tangle', 'entangle', 'tangle', 'mat', 'snarl', 'tangled', 'Byzantine', 'convoluted', 'involved', 'knotty', 'tangled', 'tortuous']"
0,convenient,"['convenient', 'commodious', 'convenient']"
1,manageable,"['manageable', 'accomplishable', 'achievable', 'doable', 'manageable', 'realizable']"
2,simple,"['simple', 'simpleton', 'simple', 'simple', 'elementary', 'simple', 'uncomplicated', 'unproblematic', 'bare', 'mere', 'simple', 'childlike', 'wide-eyed', 'round-eyed', 'dewy-eyed', 'simple', 'dim-witted', 'simple', 'simple-minded', 'simple', 'unsubdivided', 'simple']"
3,handy,"['Handy', 'W._C._Handy', 'William_Christopher_Handy', 'handy', 'ready_to_hand', 'handy', 'handy']"
4,practical,"['practical', 'hardheaded', 'hard-nosed', 'practical', 'pragmatic', 'virtual', 'practical', 'practical']"
5,uncomplicated,"['uncomplicated', 'unsophisticated', 'elementary', 'simple', 'uncomplicated', 'unproblematic']"
6,useful,"['useful', 'utile', 'utilitarian', 'useful']"
7,reliable,"['reliable', 'dependable', 'dependable', 'honest', 'reliable', 'true', 'authentic', 'reliable']"
8,foolproof,"['goofproof', 'goof-proof', 'foolproof', 'foolproof', 'unfailing']"
9,flawless,"['flawless', 'unflawed']"
10,disorderly,"['disorderly', 'disorderly', 'higgledy-piggledy', 'hugger-mugger', 'jumbled', 'topsy-turvy', 'chaotic', 'disorderly']"
11,perfect,"['perfective', 'perfective_tense', 'perfect', 'perfect_tense', 'perfect', 'hone', 'perfect', 'arrant', 'complete', 'consummate', 'double-dyed', 'everlasting', 'gross', 'perfect', 'pure', 'sodding', 'stark', 'staring', 'thoroughgoing', 'utter', 'unadulterated', 'perfect']"
12,messy,"['messy', 'mussy']"
13,infallible,['infallible']
14,sleek,"['slick', 'sleek', 'sleek', 'streamlined', 'aerodynamic', 'flowing', 'sleek', 'satiny', 'sleek', 'silken', 'silky', 'silklike', 'slick']"
