,Word,list
0,helpful,['helpful']
1,timely,"['timely', 'timely', 'seasonable', 'well-timed', 'well_timed', 'seasonably', 'timely', 'well-timed', 'apropos']"
2,beneficial,"['beneficial', 'good']"
3,quick,"['quick', 'quick', 'speedy', 'flying', 'quick', 'fast', 'agile', 'nimble', 'quick', 'spry', 'quick', 'ready', 'immediate', 'prompt', 'quick', 'straightaway', 'quick', 'warm', 'promptly', 'quickly', 'quick']"
4,fast,"['fast', 'fasting', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'debauched', 'degenerate', 'degraded', 'dissipated', 'dissolute', 'libertine', 'profligate', 'riotous', 'fast', 'flying', 'quick', 'fast', 'fast', 'firm', 'immobile', 'firm', 'loyal', 'truehearted', 'fast', 'fast', 'fast', 'fast', 'tight']"
5,efficient,"['efficient', 'effective', 'efficient']"
6,effective,"['effective', 'effectual', 'efficacious', 'effective', 'efficient', 'effective', 'effective', 'good', 'in_effect', 'in_force', 'effective', 'effective']"
7,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
8,systematic,"['systematic', 'taxonomic', 'taxonomical', 'systematic']"
9,streamlined,"['streamline', 'streamlined', 'streamlined', 'aerodynamic', 'flowing', 'sleek']"
10,structured,"['structure', 'structured', 'integrated', 'structured']"
11,organized,"['form', 'organize', 'organise', 'organize', 'organise', 'mastermind', 'engineer', 'direct', 'organize', 'organise', 'orchestrate', 'organize', 'organise', 'coordinate', 'organize', 'organise', 'prepare', 'devise', 'get_up', 'machinate', 'unionize', 'unionise', 'organize', 'organise', 'organized', 'organized', 'organized', 'organised', 'unionized', 'unionised']"
12,orderly,"['orderly', 'orderly', 'hospital_attendant', 'orderly', 'neat', 'orderly']"
13,chaotic,"['chaotic', 'helter-skelter', 'chaotic', 'disorderly', 'chaotic']"
14,unorganized,"['unorganized', 'unorganised', 'unorganized', 'unorganised', 'nonunionized', 'nonunionised']"
15,complex,"['complex', 'composite', 'complex', 'coordination_compound', 'complex', 'building_complex', 'complex', 'complex']"
16,confusing,"['confuse', 'confound', 'confuse', 'throw', 'fox', 'befuddle', 'fuddle', 'bedevil', 'confound', 'discombobulate', 'confuse', 'flurry', 'disconcert', 'put_off', 'jumble', 'confuse', 'mix_up', 'confuse', 'blur', 'obscure', 'obnubilate', 'confusing', 'confusing', 'perplexing', 'puzzling']"
0,helpful,['helpful']
1,timely,"['timely', 'timely', 'seasonable', 'well-timed', 'well_timed', 'seasonably', 'timely', 'well-timed', 'apropos']"
2,beneficial,"['beneficial', 'good']"
3,quick,"['quick', 'quick', 'speedy', 'flying', 'quick', 'fast', 'agile', 'nimble', 'quick', 'spry', 'quick', 'ready', 'immediate', 'prompt', 'quick', 'straightaway', 'quick', 'warm', 'promptly', 'quickly', 'quick']"
4,fast,"['fast', 'fasting', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'debauched', 'degenerate', 'degraded', 'dissipated', 'dissolute', 'libertine', 'profligate', 'riotous', 'fast', 'flying', 'quick', 'fast', 'fast', 'firm', 'immobile', 'firm', 'loyal', 'truehearted', 'fast', 'fast', 'fast', 'fast', 'tight']"
5,efficient,"['efficient', 'effective', 'efficient']"
6,effective,"['effective', 'effectual', 'efficacious', 'effective', 'efficient', 'effective', 'effective', 'good', 'in_effect', 'in_force', 'effective', 'effective']"
7,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
8,systematic,"['systematic', 'taxonomic', 'taxonomical', 'systematic']"
9,streamlined,"['streamline', 'streamlined', 'streamlined', 'aerodynamic', 'flowing', 'sleek']"
10,structured,"['structure', 'structured', 'integrated', 'structured']"
11,organized,"['form', 'organize', 'organise', 'organize', 'organise', 'mastermind', 'engineer', 'direct', 'organize', 'organise', 'orchestrate', 'organize', 'organise', 'coordinate', 'organize', 'organise', 'prepare', 'devise', 'get_up', 'machinate', 'unionize', 'unionise', 'organize', 'organise', 'organized', 'organized', 'organized', 'organised', 'unionized', 'unionised']"
12,orderly,"['orderly', 'orderly', 'hospital_attendant', 'orderly', 'neat', 'orderly']"
13,chaotic,"['chaotic', 'helter-skelter', 'chaotic', 'disorderly', 'chaotic']"
14,unorganized,"['unorganized', 'unorganised', 'unorganized', 'unorganised', 'nonunionized', 'nonunionised']"
15,complex,"['complex', 'composite', 'complex', 'coordination_compound', 'complex', 'building_complex', 'complex', 'complex']"
16,confusing,"['confuse', 'confound', 'confuse', 'throw', 'fox', 'befuddle', 'fuddle', 'bedevil', 'confound', 'discombobulate', 'confuse', 'flurry', 'disconcert', 'put_off', 'jumble', 'confuse', 'mix_up', 'confuse', 'blur', 'obscure', 'obnubilate', 'confusing', 'confusing', 'perplexing', 'puzzling']"
0,helpful,['helpful']
1,timely,"['timely', 'timely', 'seasonable', 'well-timed', 'well_timed', 'seasonably', 'timely', 'well-timed', 'apropos']"
2,beneficial,"['beneficial', 'good']"
3,quick,"['quick', 'quick', 'speedy', 'flying', 'quick', 'fast', 'agile', 'nimble', 'quick', 'spry', 'quick', 'ready', 'immediate', 'prompt', 'quick', 'straightaway', 'quick', 'warm', 'promptly', 'quickly', 'quick']"
4,fast,"['fast', 'fasting', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'fast', 'debauched', 'degenerate', 'degraded', 'dissipated', 'dissolute', 'libertine', 'profligate', 'riotous', 'fast', 'flying', 'quick', 'fast', 'fast', 'firm', 'immobile', 'firm', 'loyal', 'truehearted', 'fast', 'fast', 'fast', 'fast', 'tight']"
5,efficient,"['efficient', 'effective', 'efficient']"
6,effective,"['effective', 'effectual', 'efficacious', 'effective', 'efficient', 'effective', 'effective', 'good', 'in_effect', 'in_force', 'effective', 'effective']"
7,productive,"['productive', 'generative', 'productive', 'productive', 'fat', 'fertile', 'productive', 'rich']"
8,systematic,"['systematic', 'taxonomic', 'taxonomical', 'systematic']"
9,streamlined,"['streamline', 'streamlined', 'streamlined', 'aerodynamic', 'flowing', 'sleek']"
10,structured,"['structure', 'structured', 'integrated', 'structured']"
11,organized,"['form', 'organize', 'organise', 'organize', 'organise', 'mastermind', 'engineer', 'direct', 'organize', 'organise', 'orchestrate', 'organize', 'organise', 'coordinate', 'organize', 'organise', 'prepare', 'devise', 'get_up', 'machinate', 'unionize', 'unionise', 'organize', 'organise', 'organized', 'organized', 'organized', 'organised', 'unionized', 'unionised']"
12,orderly,"['orderly', 'orderly', 'hospital_attendant', 'orderly', 'neat', 'orderly']"
13,chaotic,"['chaotic', 'helter-skelter', 'chaotic', 'disorderly', 'chaotic']"
14,unorganized,"['unorganized', 'unorganised', 'unorganized', 'unorganised', 'nonunionized', 'nonunionised']"
15,complex,"['complex', 'composite', 'complex', 'coordination_compound', 'complex', 'building_complex', 'complex', 'complex']"
16,confusing,"['confuse', 'confound', 'confuse', 'throw', 'fox', 'befuddle', 'fuddle', 'bedevil', 'confound', 'discombobulate', 'confuse', 'flurry', 'disconcert', 'put_off', 'jumble', 'confuse', 'mix_up', 'confuse', 'blur', 'obscure', 'obnubilate', 'confusing', 'confusing', 'perplexing', 'puzzling']"
