,Word,list
0,satisfied,"['satisfy', 'fulfill', 'fulfil', 'live_up_to', 'satisfy', 'gratify', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil', 'satisfied', 'quenched', 'satisfied', 'slaked']"
1,useful,"['useful', 'utile', 'utilitarian', 'useful']"
2,fulfill,"['carry_through', 'accomplish', 'execute', 'carry_out', 'action', 'fulfill', 'fulfil', 'satisfy', 'fulfill', 'fulfil', 'live_up_to', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil']"
3,gratify,"['satisfy', 'gratify', 'gratify', 'pander', 'indulge']"
4,meet,"['meet', 'sports_meeting', 'meet', 'run_into', 'encounter', 'run_across', 'come_across', 'see', 'meet', 'get_together', 'converge', 'meet', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil', 'meet', 'fit', 'conform_to', 'meet', 'match', 'cope_with', 'meet', 'gather', 'assemble', 'forgather', 'foregather', 'meet', 'meet', 'meet', 'encounter', 'play', 'take_on', 'meet', 'encounter', 'receive', 'suffer', 'meet', 'touch', 'adjoin', 'meet', 'contact', 'fitting', 'meet']"
5,beneficial,"['beneficial', 'good']"
6,content,"['content', 'message', 'content', 'subject_matter', 'substance', 'content', 'capacity', 'content', 'content', 'cognitive_content', 'mental_object', 'contentedness', 'content', 'subject', 'content', 'depicted_object', 'content', 'content', 'contented', 'content']"
7,happy,"['happy', 'felicitous', 'happy', 'glad', 'happy', 'happy', 'well-chosen']"
8,appeasement,"['appeasement', 'calming']"
9,unsatisfied,"['unsated', 'unsatiated', 'unsatisfied', 'restless', 'ungratified', 'unsatisfied']"
10,bad,"['bad', 'badness', 'bad', 'bad', 'big', 'bad', 'tough', 'bad', 'spoiled', 'spoilt', 'regretful', 'sorry', 'bad', 'bad', 'uncollectible', 'bad', 'bad', 'bad', 'risky', 'high-risk', 'speculative', 'bad', 'unfit', 'unsound', 'bad', 'bad', 'bad', 'forged', 'bad', 'defective', 'badly', 'bad', 'badly', 'bad']"
11,meaningless,"['meaningless', 'nonmeaningful']"
12,useless,['useless']
0,satisfied,"['satisfy', 'fulfill', 'fulfil', 'live_up_to', 'satisfy', 'gratify', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil', 'satisfied', 'quenched', 'satisfied', 'slaked']"
1,useful,"['useful', 'utile', 'utilitarian', 'useful']"
2,fulfill,"['carry_through', 'accomplish', 'execute', 'carry_out', 'action', 'fulfill', 'fulfil', 'satisfy', 'fulfill', 'fulfil', 'live_up_to', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil']"
3,gratify,"['satisfy', 'gratify', 'gratify', 'pander', 'indulge']"
4,meet,"['meet', 'sports_meeting', 'meet', 'run_into', 'encounter', 'run_across', 'come_across', 'see', 'meet', 'get_together', 'converge', 'meet', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil', 'meet', 'fit', 'conform_to', 'meet', 'match', 'cope_with', 'meet', 'gather', 'assemble', 'forgather', 'foregather', 'meet', 'meet', 'meet', 'encounter', 'play', 'take_on', 'meet', 'encounter', 'receive', 'suffer', 'meet', 'touch', 'adjoin', 'meet', 'contact', 'fitting', 'meet']"
5,beneficial,"['beneficial', 'good']"
6,content,"['content', 'message', 'content', 'subject_matter', 'substance', 'content', 'capacity', 'content', 'content', 'cognitive_content', 'mental_object', 'contentedness', 'content', 'subject', 'content', 'depicted_object', 'content', 'content', 'contented', 'content']"
7,happy,"['happy', 'felicitous', 'happy', 'glad', 'happy', 'happy', 'well-chosen']"
8,appeasement,"['appeasement', 'calming']"
9,unsatisfied,"['unsated', 'unsatiated', 'unsatisfied', 'restless', 'ungratified', 'unsatisfied']"
10,bad,"['bad', 'badness', 'bad', 'bad', 'big', 'bad', 'tough', 'bad', 'spoiled', 'spoilt', 'regretful', 'sorry', 'bad', 'bad', 'uncollectible', 'bad', 'bad', 'bad', 'risky', 'high-risk', 'speculative', 'bad', 'unfit', 'unsound', 'bad', 'bad', 'bad', 'forged', 'bad', 'defective', 'badly', 'bad', 'badly', 'bad']"
11,meaningless,"['meaningless', 'nonmeaningful']"
12,useless,['useless']
0,satisfied,"['satisfy', 'fulfill', 'fulfil', 'live_up_to', 'satisfy', 'gratify', 'meet', 'satisfy', 'fill', 'fulfill', 'fulfil', 'satisfied', 'quenched', 'satisfied', 'slaked']"
